route,pageRole,currentTitle,currentH1,classification,lockedForHandoff3,editorialDecision,editorialNotes
"/learn/calculus/integration-by-parts/","method-guide","Integration by parts: recognition, setup, and examples | Better Grades","Integration by parts, without the guessing game.","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/","quick-answer","Expressions & Equations Algebra resources | Better Grades","Expressions & Equations","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","Combining like terms without combining things that only look alike | Better Grades","Combining like terms without combining things that only look alike","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/distributive-property/","concept-explainer","The distributive property: why the outside factor reaches every term | Better Grades","The distributive property: why the outside factor reaches every term","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","Evaluating algebraic expressions by substitution | Better Grades","Evaluating algebraic expressions by substitution","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","concept-explainer","Order of operations with variables: what actually comes first? | Better Grades","Order of operations with variables: what actually comes first?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","method-guide","Solving linear equations: keep the balance, not a bag of tricks | Better Grades","Solving linear equations: keep the balance, not a bag of tricks","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","Variables on both sides: which side should you move them to? | Better Grades","Variables on both sides: which side should you move them to?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/","quick-answer","Linear Relationships Algebra resources | Better Grades","Linear Relationships","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","method-guide","How to write a line equation from two points | Better Grades","How to write a line equation from two points","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","method-guide","Graphing a linear equation from standard form | Better Grades","Graphing a linear equation from standard form","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","What do slope and intercept mean in a linear model? | Better Grades","What do slope and intercept mean in a linear model?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","concept-explainer","Parallel and perpendicular slopes, with the vertical-line exception | Better Grades","Parallel and perpendicular slopes, with the vertical-line exception","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","decision-guide","Point-slope or slope-intercept form: which should you use? | Better Grades","Point-slope or slope-intercept form: which should you use?","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","concept-explainer","Slope is a rate of change, not just rise over run | Better Grades","Slope is a rate of change, not just rise over run","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/","quick-answer","Polynomials & Factoring Algebra resources | Better Grades","Polynomials & Factoring","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","method-guide","Completing the square without guessing | Better Grades","Completing the square without guessing","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","concept-explainer","Exponent rules that come from counting factors | Better Grades","Exponent rules that come from counting factors","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","method-guide","Factoring trinomials: use product and sum, not random guessing | Better Grades","Factoring trinomials: use product and sum, not random guessing","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","method-guide","Factor the greatest common factor before anything fancy | Better Grades","Factor the greatest common factor before anything fancy","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","method-guide","Multiplying polynomials without losing a term | Better Grades","Multiplying polynomials without losing a term","TITLE_OPENING_REVIEW","false","DEFER_WITH_REASON","The current title and H1 identify a distinct route. Shared-template compression does not establish a route-specific title or opening defect; retain exact copy until query evidence and owner-approved replacement copy support a change."
