lesson,companion,companion_role,confidence
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/common-errors/","/glossary/math/optimization/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/concavity/","/glossary/math/antiderivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/concavity/","/glossary/math/derivative/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/concavity/","/glossary/math/implicit-differentiation/","glossary-term","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/concavity/","/subjects/math/calculus/formula-sheets/derivative-rules/","formula-sheet","high-confidence-inferred"
