priority,secondaryUrl,primaryUrl,currentDistinctIntent,requestedEvidence,decisionGate
medium,/subjects/math/algebra/expressions-equations/variables-on-both-sides/,/subjects/math/algebra/linear-equations/variables-on-both-sides/,which side to move terms to,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/systems-inequalities/substitution-systems/,/subjects/math/algebra/systems/substitution/,when to choose substitution,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/systems-inequalities/elimination-systems/,/subjects/math/algebra/systems/elimination/,when to choose elimination,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/,/subjects/math/algebra/linear-relationships/parallel-and-perpendicular-lines/,vertical-line exception for parallel and perpendicular slopes,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/systems-inequalities/compound-inequalities/,/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,and versus or logic in compound inequalities,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/polynomials-factoring/multiply-polynomials/,/subjects/math/algebra/polynomial-operations/polynomial-times-polynomial/,polynomial multiplication error-prevention checklist,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/polynomials-factoring/greatest-common-factor/,/subjects/math/algebra/factoring-quadratics/factoring-as-reverse-distribution-and-gcf/,when to factor the GCF first,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/polynomials-factoring/factoring-trinomials/,/subjects/math/algebra/factoring-quadratics/factoring-x-2-bx-c/,choosing a trinomial factoring method,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/polynomials-factoring/special-factor-patterns/,/subjects/math/algebra/factoring-quadratics/special-factoring-patterns/,difference of squares versus perfect-square trinomial,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/polynomials-factoring/completing-the-square/,/subjects/math/algebra/factoring-quadratics/completing-the-square-algebraically/,finding the missing completing-square term,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/,/subjects/math/algebra/radicals-complex-numbers/simplifying-radicals/,finding perfect-power factors in radicals,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/,/subjects/math/algebra/radicals-complex-numbers/solving-radical-equations/,checking extraneous solutions in radical equations,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
medium,/subjects/math/algebra/radicals-exponents-functions/rational-exponents/,/subjects/math/algebra/radicals-complex-numbers/rational-exponents/,why fractional exponents mean roots,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/rational-expressions/rational-domain-restrictions/,/subjects/math/algebra/rational-expressions/rational-expressions-and-restrictions/,why canceled factors still restrict the domain,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/,/subjects/math/algebra/rational-expressions/addition-and-subtraction/,finding the LCD for rational expressions,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
high,/subjects/math/algebra/rational-expressions/solving-rational-equations/,/subjects/math/algebra/rational-expressions/rational-equations/,forbidden and extraneous rational-equation solutions,"GSC query/page export (16 months), clicks, impressions, CTR, position, canonical status, backlinks","Do not merge, redirect, or noindex unless evidence shows the same query intent and a clear winning owner."
