sourceId,sourcePath,decision,targetId,targetPath,relationshipType,placement,anchorText,approvalBasis,confidence,deferReason
article.answer-cal-int-sec3,/answers/calculus/integral-of-sec-cubed/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.answer-cal-parts-when,/learn/calculus/integration-by-parts/,EXACT_TEXTBOOK_MATCH,textbook-lesson.subjects-math-calculus-integrals-integration-by-parts,/subjects/math/calculus/integrals/integration-by-parts/,full_version_of,article-intro,Integration by Parts,Exact primary concept concept.math.integration-by-parts; shared skill skill.math.integration-by-parts; complementary short-form and textbook roles; unique highest eligible candidate; canonical published index target; similarity 0.333 below 0.72.,high,
article.topic-math-algebra-expressions-equations,/subjects/math/algebra/expressions-equations/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-expressions-equations-combining-like-terms,/subjects/math/algebra/expressions-equations/combining-like-terms/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-expressions-equations-distributive-property,/subjects/math/algebra/expressions-equations/distributive-property/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-expressions-equations-evaluating-expressions-by-substitution,/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/,NO_EXACT_TEXTBOOK_MATCH,,,,,,,,"No candidate passed every exactness condition: canonicalIndexableTarget, exactSharedSkill, samePrimaryConcept."
article.resource-math-algebra-expressions-equations-order-of-operations-with-variables,/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-expressions-equations-solving-linear-equations,/subjects/math/algebra/expressions-equations/solving-linear-equations/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-expressions-equations-variables-on-both-sides,/subjects/math/algebra/expressions-equations/variables-on-both-sides/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-linear-relationships-equation-from-two-points,/subjects/math/algebra/linear-relationships/equation-from-two-points/,NO_EXACT_TEXTBOOK_MATCH,,,,,,,,"No candidate passed every exactness condition: canonicalIndexableTarget, exactSharedSkill, samePrimaryConcept."
article.resource-math-algebra-linear-relationships-graphing-linear-equations-from-standard-form,/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-linear-relationships-interpreting-linear-models,/subjects/math/algebra/linear-relationships/interpreting-linear-models/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-linear-relationships-parallel-perpendicular-lines,/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-linear-relationships-point-slope-vs-slope-intercept,/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-linear-relationships-slope-as-rate-of-change,/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.topic-math-algebra-polynomials-factoring,/subjects/math/algebra/polynomials-factoring/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-completing-the-square,/subjects/math/algebra/polynomials-factoring/completing-the-square/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-exponent-rules,/subjects/math/algebra/polynomials-factoring/exponent-rules/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-factoring-trinomials,/subjects/math/algebra/polynomials-factoring/factoring-trinomials/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-greatest-common-factor,/subjects/math/algebra/polynomials-factoring/greatest-common-factor/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-multiply-polynomials,/subjects/math/algebra/polynomials-factoring/multiply-polynomials/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-polynomials-factoring-special-factor-patterns,/subjects/math/algebra/polynomials-factoring/special-factor-patterns/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.topic-math-algebra-radicals-exponents-functions,/subjects/math/algebra/radicals-exponents-functions/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-radicals-exponents-functions-exponential-growth-and-decay,/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-radicals-exponents-functions-function-notation,/subjects/math/algebra/radicals-exponents-functions/function-notation/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-radicals-exponents-functions-inverse-functions-vs-reciprocals,/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-radicals-exponents-functions-rational-exponents,/subjects/math/algebra/radicals-exponents-functions/rational-exponents/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
article.resource-math-algebra-radicals-exponents-functions-simplifying-radicals,/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/,INTENT_CONFLICT_DEFERRED,,,,,,,,Multiple equally ranked eligible lessons require editorial intent adjudication.
