priority,conceptId,canonicalLesson,assetIntent,assetRole,owner,requiredLinks,guardrail
high,cross.domain,/subjects/math/algebra/functions/domain/,practice domain of a function with feedback,worksheet,/subjects/math/algebra/functions/domain/,/subjects/math/algebra/functions/domain/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.range,/subjects/math/algebra/functions/range-and-graph-behavior/,practice range of a function with feedback,worksheet,/subjects/math/algebra/functions/range-and-graph-behavior/,/subjects/math/algebra/functions/range-and-graph-behavior/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.function-notation,/subjects/math/algebra/functions/function-notation-and-evaluation/,practice function notation with feedback,worksheet,/subjects/math/algebra/functions/function-notation-and-evaluation/,/subjects/math/algebra/functions/function-notation-and-evaluation/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.piecewise,/subjects/math/algebra/functions/piecewise-defined-functions/,practice piecewise functions with feedback,worksheet,/subjects/math/algebra/functions/piecewise-defined-functions/,/subjects/math/algebra/functions/piecewise-defined-functions/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.exponential-functions,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,practice exponential functions with feedback,worksheet,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.growth-decay,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,practice growth and decay models with feedback,worksheet,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.log-laws,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,practice logarithm laws with feedback,worksheet,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
high,cross.solve-exponential,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,practice solving exponential equations with feedback,worksheet,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.systems,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,practice systems of equations with feedback,worksheet,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.geometric-sequences,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,practice geometric sequences with feedback,worksheet,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.infinite-geometric-series,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,practice infinite geometric series with feedback,worksheet,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.difference-quotients,/subjects/math/calculus/derivatives/difference-quotient-algebra/,practice difference quotient with feedback,worksheet,/subjects/math/calculus/derivatives/difference-quotient-algebra/,/subjects/math/calculus/derivatives/difference-quotient-algebra/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
medium,cross.limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,practice limits with feedback,worksheet,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,"Asset title must include worksheet, practice, calculator, visual, or reference intent."
