route,pageRole,verticalPixelsBeforeContent,wordsBeforeContent,navigationBlocksBeforeContent,recommendedReview,editorialDecision,editorialNotes
"/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/","worked-problem","617","24","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/worked-problems/taylor-polynomial-from-derivatives/","worked-problem","617","23","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/worked-problems/alternating-series-test-example/","worked-problem","568","24","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
"/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","568","23","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/visuals/riemann-sum-progression/","visual-guide","568","22","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/visuals/taylor-approximation-visual/","visual-guide","519","19","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/worksheets/geometric-series/","worksheet","568","20","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/worksheets/chain-rule/","worksheet","519","20","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/subjects/math/calculus/worksheets/evaluating-limits/","worksheet","519","18","1","Review representative template friction in Handoff 3","KEEP_CURRENT_ROLE_TEMPLATE","The representative route does not show a role-level defect that warrants broad template change; preserve it and verify it in the browser matrix."
"/glossary/math/fundamental-theorem-calculus/","glossary-term","534","19","1","Review representative template friction in Handoff 3","COMPRESS_SHARED_TEMPLATE","Use the H3 shared-template contract: one concise opening, direct role-specific content first, and supporting navigation after the educational task."
