route,page_role,repeated_boilerplate_word_count,main_content_ratio
"/answers/calculus/integral-of-sec-cubed/","answer","349","0.682"
"/learn/calculus/integration-by-parts/","method-guide","319","0.585"
"/practice/math/calculus/challenges/integration-bee/","assessment","345","0.097"
"/practice/math/calculus/diagnostics/calculus-readiness/","assessment","346","0.180"
"/practice/math/calculus/exams/calculus-foundations/","practice-exam","347","0.184"
"/practice/math/calculus/quizzes/integration-method-selection/","assessment","346","0.137"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","302","0.635"
"/subjects/math/algebra/expressions-equations/distributive-property/","concept-explainer","302","0.622"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","297","0.637"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","concept-explainer","301","0.642"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","method-guide","303","0.642"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","303","0.635"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","method-guide","327","0.620"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","method-guide","325","0.649"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","328","0.633"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","concept-explainer","326","0.610"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","decision-guide","326","0.618"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","concept-explainer","329","0.624"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","method-guide","358","0.618"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","concept-explainer","360","0.614"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","method-guide","362","0.624"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","method-guide","361","0.614"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","method-guide","359","0.582"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","359","0.624"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","concept-explainer","313","0.642"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","concept-explainer","317","0.629"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","317","0.639"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","concept-explainer","314","0.619"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","313","0.604"
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","method-guide","314","0.617"
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","method-guide","325","0.621"
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","decision-guide","329","0.618"
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","concept-explainer","325","0.620"
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","324","0.645"
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","method-guide","328","0.608"
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","method-guide","327","0.609"
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","decision-guide","372","0.595"
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","method-guide","372","0.553"
"/subjects/math/algebra/systems-inequalities/elimination-systems/","method-guide","368","0.580"
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","method-guide","370","0.603"
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","concept-explainer","371","0.588"
"/subjects/math/algebra/systems-inequalities/substitution-systems/","method-guide","368","0.581"
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","368","0.628"
"/subjects/math/calculus/derivative-applications/linear-approximation/","concept-explainer","371","0.626"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","textbook-lesson","365","0.786"
"/subjects/math/calculus/derivative-applications/newtons-method/","textbook-lesson","364","0.818"
"/subjects/math/calculus/derivative-applications/optimization/","method-guide","371","0.617"
"/subjects/math/calculus/derivative-applications/related-rates/","method-guide","368","0.631"
"/subjects/math/calculus/derivatives/chain-rule/","method-guide","396","0.601"
"/subjects/math/calculus/derivatives/derivative-of-x-to-the-x/","quick-answer","398","0.613"
"/subjects/math/calculus/derivatives/derivatives-of-inverse-trig-functions/","method-guide","394","0.652"
"/subjects/math/calculus/derivatives/implicit-differentiation/","textbook-lesson","391","0.819"
"/subjects/math/calculus/derivatives/logarithmic-differentiation/","textbook-lesson","391","0.756"
"/subjects/math/calculus/derivatives/product-rule-vs-quotient-rule/","decision-guide","394","0.601"
"/subjects/math/calculus/integration-applications/arc-length/","textbook-lesson","378","0.697"
"/subjects/math/calculus/integration-applications/area-between-curves/","textbook-lesson","379","0.684"
"/subjects/math/calculus/integration-applications/average-value-of-a-function/","concept-explainer","384","0.600"
"/subjects/math/calculus/integration-applications/surface-area-of-revolution/","textbook-lesson","380","0.668"
"/subjects/math/calculus/integration-applications/washer-vs-shell/","decision-guide","381","0.612"
"/subjects/math/calculus/integration-applications/work-and-fluid-force/","method-guide","382","0.601"
"/subjects/math/calculus/integration-techniques/improper-integrals/","concept-explainer","369","0.618"
"/subjects/math/calculus/integration-techniques/integration-by-parts-strategy/","method-guide","372","0.671"
"/subjects/math/calculus/integration-techniques/partial-fractions/","method-guide","367","0.614"
"/subjects/math/calculus/integration-techniques/trigonometric-integrals/","decision-guide","371","0.626"
"/subjects/math/calculus/integration-techniques/trigonometric-substitution/","decision-guide","367","0.622"
"/subjects/math/calculus/integration-techniques/u-substitution/","method-guide","368","0.604"
"/subjects/math/calculus/limits-continuity/continuity-at-a-point/","concept-explainer","381","0.555"
"/subjects/math/calculus/limits-continuity/evaluating-indeterminate-limits/","method-guide","380","0.547"
"/subjects/math/calculus/limits-continuity/infinite-limits-and-asymptotes/","concept-explainer","379","0.536"
"/subjects/math/calculus/limits-continuity/limit-of-sin-x-over-x/","quick-answer","386","0.583"
"/subjects/math/calculus/limits-continuity/one-sided-limits-and-jump-discontinuities/","concept-explainer","379","0.633"
"/subjects/math/calculus/limits-continuity/squeeze-theorem/","method-guide","382","0.576"
"/subjects/math/calculus/limits-continuity/unit/","decision-guide","307","0.871"
"/subjects/math/calculus/limits-continuity/unit/continuity/bisection-method/","textbook-lesson","307","0.734"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/","textbook-lesson","306","0.793"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","textbook-lesson","305","0.708"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuity-practice/","textbook-lesson","307","0.904"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuity-review/","textbook-lesson","306","0.570"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuous-functions/","textbook-lesson","306","0.675"
"/subjects/math/calculus/limits-continuity/unit/continuity/intermediate-value-theorem/","textbook-lesson","305","0.764"
"/subjects/math/calculus/limits-continuity/unit/continuity/intervals-endpoints/","textbook-lesson","308","0.654"
"/subjects/math/calculus/limits-continuity/unit/continuity/piecewise-parameters/","textbook-lesson","307","0.734"
"/subjects/math/calculus/limits-continuity/unit/continuity/repair-removable-discontinuity/","textbook-lesson","308","0.723"
"/subjects/math/calculus/limits-continuity/unit/continuity/two-parameter-continuity/","textbook-lesson","305","0.633"
"/subjects/math/calculus/limits-continuity/unit/continuity/types-of-discontinuity/","textbook-lesson","305","0.703"
"/subjects/math/calculus/limits-continuity/unit/limits/absolute-value-piecewise/","textbook-lesson","309","0.731"
"/subjects/math/calculus/limits-continuity/unit/limits/common-exam-errors/","textbook-lesson","306","0.633"
"/subjects/math/calculus/limits-continuity/unit/limits/complete-asymptote-analysis/","textbook-lesson","307","0.563"
"/subjects/math/calculus/limits-continuity/unit/limits/complex-fractions/","textbook-lesson","306","0.745"
"/subjects/math/calculus/limits-continuity/unit/limits/cosine-limits/","decision-guide","307","0.785"
"/subjects/math/calculus/limits-continuity/unit/limits/cumulative-practice/","textbook-lesson","307","0.897"
"/subjects/math/calculus/limits-continuity/unit/limits/direct-substitution/","textbook-lesson","306","0.762"
"/subjects/math/calculus/limits-continuity/unit/limits/disprove-limit-epsilon-delta/","textbook-lesson","308","0.660"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-concept-quiz/","textbook-lesson","305","0.704"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-graph/","textbook-lesson","309","0.655"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-introduction/","textbook-lesson","306","0.743"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-linear/","textbook-lesson","307","0.729"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-practice/","textbook-lesson","305","0.819"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-quadratic/","textbook-lesson","307","0.731"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-review/","textbook-lesson","304","0.562"
"/subjects/math/calculus/limits-continuity/unit/limits/factoring-limits/","textbook-lesson","306","0.793"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limit-decision-tree/","textbook-lesson","306","0.585"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-concept-quiz/","textbook-lesson","306","0.698"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-practice/","textbook-lesson","306","0.909"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-review/","textbook-lesson","305","0.566"
"/subjects/math/calculus/limits-continuity/unit/limits/formal-infinite-limits/","textbook-lesson","308","0.648"
"/subjects/math/calculus/limits-continuity/unit/limits/function-value-vs-limit/","textbook-lesson","306","0.774"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-concept-quiz/","textbook-lesson","306","0.700"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-practice/","textbook-lesson","307","0.888"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-review/","textbook-lesson","307","0.569"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-limits/","decision-guide","305","0.722"
"/subjects/math/calculus/limits-continuity/unit/limits/infinity-minus-infinity/","textbook-lesson","306","0.708"
"/subjects/math/calculus/limits-continuity/unit/limits/limit-at-a-hole/","textbook-lesson","308","0.750"
"/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","textbook-lesson","309","0.777"
"/subjects/math/calculus/limits-continuity/unit/limits/limits-at-infinity/","textbook-lesson","308","0.807"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-concept-quiz/","textbook-lesson","306","0.700"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-practice/","textbook-lesson","306","0.907"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-review/","textbook-lesson","305","0.564"
