lesson_id,unit,title,outcome
P0.1,P0,Readiness diagnostic and routing,Use diagnostic evidence to identify which prerequisite strands are secure and which require targeted repair.
P0.2,P0,Equation and inequality repair,Classify and solve common equation and inequality families while distinguishing reversible steps from candidate-generating steps.
P0.3,P0,Factoring and polynomial structure repair,Recognize and apply the principal factoring structures needed for polynomial-function analysis.
P0.4,P0,Rational expressions and restrictions repair,Simplify and solve rational expressions while preserving every restriction from the original form.
P0.5,P0,Radicals and rational exponents repair,"Move among radical and rational-exponent forms, simplify exact values, and reject extraneous candidates."
P0.6,P0,Exponential and logarithmic algebra repair,"Apply exponent and logarithm laws, convert between inverse forms, and solve basic equations with valid domains."
P0.7,P0,Function notation and graph reading repair,"Evaluate functions, solve output conditions, and read domain, range, intercepts, extrema, and intervals from graphs."
P0.8,P0,Mixed readiness synthesis,"Select methods across prerequisite strands, justify restrictions, and communicate exact and approximate results."
P1.1,P1,"Quantities, variables, and dependency","Identify the input, output, parameters, and units in a quantitative relationship and explain how the quantities depend on one another."
P1.2,P1,Relations and functions,Determine whether a relation is a function by applying the rule that each allowed input has exactly one output.
P1.3,P1,"Function notation, evaluation, and solving",Use function notation accurately and distinguish finding an output from finding inputs that produce a chosen output.
P1.4,P1,"Words, tables, graphs, and formulas","Translate a function relationship among verbal, tabular, graphical, and algebraic representations while preserving quantities, units, and domain."
P1.5,P1,Domain from formulas,"Determine the real domain of a function by combining denominator, even-root, logarithm, and composition restrictions."
P1.6,P1,Domain from context,Distinguish the algebraic domain of a formula from the inputs that are meaningful in a model.
P1.7,P1,Range and global graph behavior,"Read range, intercepts, extrema, boundedness, symmetry, and intervals of increase or decrease from a graph."
P1.8,P1,Piecewise-defined functions,"Evaluate, graph, and interpret functions that use different rules on different parts of the domain."
P1.9,P1,Average rate of change,Calculate and interpret average rate of change as output change per input change and as the slope of a secant line.
P1.10,P1,Function representation and modeling studio,"Construct, compare, and defend function representations while stating assumptions, domain, units, and limitations."
P2.1,P2,Parent-function atlas,"Recognize benchmark function families by domain, range, symmetry, intercepts, end behavior, and rate patterns."
P2.2,P2,Coordinate mappings and transformation logic,Derive graph transformations by tracking how input-output pairs move.
P2.3,P2,Vertical translations,"Analyze how adding a constant outside a function changes outputs, range, intercepts, extrema, and asymptotes."
P2.4,P2,Horizontal translations,"Analyze how replacing x by x-h changes input locations, domain, intercepts, extrema, and vertical asymptotes."
P2.5,P2,Reflections and symmetry,Reflect function graphs across coordinate axes and connect reflection rules with even and odd symmetry.
P2.6,P2,Vertical and horizontal scaling,"Distinguish output scaling from input scaling and determine the resulting stretches, compressions, domains, and ranges."
P2.7,P2,Combined transformations,"Analyze and graph functions with several transformations by tracking inputs, outputs, and key features."
P2.8,P2,Sums and differences of functions,"Add and subtract functions pointwise, determine the common domain, and interpret combined outputs."
P2.9,P2,Products and quotients of functions,"Multiply and divide functions pointwise while analyzing zeros, restrictions, and combined graph behavior."
P2.10,P2,Reconstructing formulas from transformed graphs,"Use parent-family features, transformations, and one or more data points to construct and verify a function formula."
P3.1,P3,Composition as sequential processing,"Interpret f composed with g as applying g first and then f, and explain why order generally matters."
P3.2,P3,Composition from formulas,Evaluate and simplify composite functions symbolically while preserving grouping and domain conditions.
