sourceLessonId,url,conceptId,queryFamily,currentH1,proposedH1,seoTitle,classification,rationale
P0.1,/subjects/math/precalculus/algebra-and-function-readiness/readiness-diagnostic-and-routing/,concept.math.use-diagnostic-evidence-to-identify-which-prerequisite-strands-are-secure-and-which-require-targeted-repair,readiness diagnostic and routing,Readiness diagnostic and routing,Readiness diagnostic and routing,Readiness diagnostic and routing | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.2,/subjects/math/precalculus/algebra-and-function-readiness/equation-and-inequality-repair/,concept.math.classify-and-solve-common-equation-and-inequality-families-while-distinguishing-reversible-steps-from-candidate-generating-steps,equation and inequality repair,Equation and inequality repair,Equation and inequality repair,Equation and inequality repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.3,/subjects/math/precalculus/algebra-and-function-readiness/factoring-and-polynomial-structure-repair/,concept.math.recognize-and-apply-the-principal-factoring-structures-needed-for-polynomial-function-analysis,factoring and polynomial structure repair,Factoring and polynomial structure repair,Factoring and polynomial structure repair,Factoring and polynomial structure repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.4,/subjects/math/precalculus/algebra-and-function-readiness/rational-expressions-and-restrictions-repair/,concept.math.simplify-and-solve-rational-expressions-while-preserving-every-restriction-from-the-original-form,rational expressions and restrictions repair,Rational expressions and restrictions repair,Rational expressions and restrictions repair,Rational expressions and restrictions repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.5,/subjects/math/precalculus/algebra-and-function-readiness/radicals-and-rational-exponents-repair/,concept.math.move-among-radical-and-rational-exponent-forms-simplify-exact-values-and-reject-extraneous-candidates,radicals and rational exponents repair,Radicals and rational exponents repair,Radicals and rational exponents repair,Radicals and rational exponents repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.6,/subjects/math/precalculus/algebra-and-function-readiness/exponential-and-logarithmic-algebra-repair/,concept.math.apply-exponent-and-logarithm-laws-convert-between-inverse-forms-and-solve-basic-equations-with-valid-domains,exponential and logarithmic algebra repair,Exponential and logarithmic algebra repair,Exponential and logarithmic algebra repair,Exponential and logarithmic algebra repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.7,/subjects/math/precalculus/algebra-and-function-readiness/function-notation-and-graph-reading-repair/,concept.math.evaluate-functions-solve-output-conditions-and-read-domain-range-intercepts-extrema-and-intervals-from-graphs,function notation and graph reading repair,Function notation and graph reading repair,Function notation and graph reading repair,Function notation and graph reading repair | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P0.8,/subjects/math/precalculus/algebra-and-function-readiness/mixed-readiness-synthesis/,concept.math.select-methods-across-prerequisite-strands-justify-restrictions-and-communicate-exact-and-approximate-results,mixed readiness synthesis,Mixed readiness synthesis,Mixed readiness synthesis,Mixed readiness synthesis | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.1,/subjects/math/precalculus/functions-and-multiple-representations/quantities-variables-and-dependency/,concept.math.identify-the-input-output-parameters-and-units-in-a-quantitative-relationship-and-explain-how-the-quantities-depend-on-one-another,"quantities, variables, and dependency in functions","Quantities, variables, and dependency","Quantities, Variables, and Dependency in Functions","Quantities, Variables, and Dependency in Functions | Better Grades",RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P1.2,/subjects/math/precalculus/functions-and-multiple-representations/relations-and-functions/,concept.math.determine-whether-a-relation-is-a-function-by-applying-the-rule-that-each-allowed-input-has-exactly-one-output,relations and functions across multiple representations,Relations and functions,Relations and Functions Across Multiple Representations,Relations and Functions Across Multiple Representations | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P1.3,/subjects/math/precalculus/functions-and-multiple-representations/function-notation-evaluation-and-solving/,concept.math.use-function-notation-accurately-and-distinguish-finding-an-output-from-finding-inputs-that-produce-a-chosen-output,"function notation, evaluation, and solving","Function notation, evaluation, and solving","Function notation, evaluation, and solving","Function notation, evaluation, and solving | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.4,/subjects/math/precalculus/functions-and-multiple-representations/words-tables-graphs-and-formulas/,concept.math.translate-a-function-relationship-among-verbal-tabular-graphical-and-algebraic-representations-while-preserving-quantities-units-and-domain,"representing functions with words, tables, graphs, and formulas","Words, tables, graphs, and formulas","Representing Functions with Words, Tables, Graphs, and Formulas","Representing Functions with Words, Tables, Graphs, and Formulas | Better Grades",RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P1.5,/subjects/math/precalculus/functions-and-multiple-representations/domain-from-formulas/,concept.math.determine-the-real-domain-of-a-function-by-combining-denominator-even-root-logarithm-and-composition-restrictions,domain from formulas,Domain from formulas,Domain from formulas,Domain from formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.6,/subjects/math/precalculus/functions-and-multiple-representations/domain-from-context/,concept.math.distinguish-the-algebraic-domain-of-a-formula-from-the-inputs-that-are-meaningful-in-a-model,domain from context,Domain from context,Domain from context,Domain from context | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.7,/subjects/math/precalculus/functions-and-multiple-representations/range-and-global-graph-behavior/,concept.math.read-range-intercepts-extrema-boundedness-symmetry-and-intervals-of-increase-or-decrease-from-a-graph,range and global graph behavior,Range and global graph behavior,Range and global graph behavior,Range and global graph behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.8,/subjects/math/precalculus/functions-and-multiple-representations/piecewise-defined-functions/,concept.math.evaluate-graph-and-interpret-functions-that-use-different-rules-on-different-parts-of-the-domain,piecewise functions across multiple representations,Piecewise-defined functions,Piecewise Functions Across Multiple Representations,Piecewise Functions Across Multiple Representations | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P1.9,/subjects/math/precalculus/functions-and-multiple-representations/average-rate-of-change/,concept.math.calculate-and-interpret-average-rate-of-change-as-output-change-per-input-change-and-as-the-slope-of-a-secant-line,average rate of change,Average rate of change,Average rate of change,Average rate of change | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P1.10,/subjects/math/precalculus/functions-and-multiple-representations/function-representation-and-modeling-studio/,concept.math.construct-compare-and-defend-function-representations-while-stating-assumptions-domain-units-and-limitations,function representation and modeling studio,Function representation and modeling studio,Function representation and modeling studio,Function representation and modeling studio | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.1,/subjects/math/precalculus/transformations-and-function-operations/parent-function-atlas/,concept.math.recognize-benchmark-function-families-by-domain-range-symmetry-intercepts-end-behavior-and-rate-patterns,parent-function atlas,Parent-function atlas,Parent-function atlas,Parent-function atlas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.2,/subjects/math/precalculus/transformations-and-function-operations/coordinate-mappings-and-transformation-logic/,concept.math.derive-graph-transformations-by-tracking-how-input-output-pairs-move,coordinate mappings for function transformations,Coordinate mappings and transformation logic,Coordinate Mappings for Function Transformations,Coordinate Mappings for Function Transformations | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P2.3,/subjects/math/precalculus/transformations-and-function-operations/vertical-translations/,concept.math.analyze-how-adding-a-constant-outside-a-function-changes-outputs-range-intercepts-extrema-and-asymptotes,vertical translations,Vertical translations,Vertical translations,Vertical translations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.4,/subjects/math/precalculus/transformations-and-function-operations/horizontal-translations/,concept.math.analyze-how-replacing-x-by-x-h-changes-input-locations-domain-intercepts-extrema-and-vertical-asymptotes,horizontal translations,Horizontal translations,Horizontal translations,Horizontal translations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.5,/subjects/math/precalculus/transformations-and-function-operations/reflections-and-symmetry/,concept.math.reflect-function-graphs-across-coordinate-axes-and-connect-reflection-rules-with-even-and-odd-symmetry,reflections and symmetry,Reflections and symmetry,Reflections and symmetry,Reflections and symmetry | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.6,/subjects/math/precalculus/transformations-and-function-operations/vertical-and-horizontal-scaling/,concept.math.distinguish-output-scaling-from-input-scaling-and-determine-the-resulting-stretches-compressions-domains-and-ranges,vertical and horizontal scaling,Vertical and horizontal scaling,Vertical and horizontal scaling,Vertical and horizontal scaling | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.7,/subjects/math/precalculus/transformations-and-function-operations/combined-transformations/,concept.math.analyze-and-graph-functions-with-several-transformations-by-tracking-inputs-outputs-and-key-features,combined transformations,Combined transformations,Combined transformations,Combined transformations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.8,/subjects/math/precalculus/transformations-and-function-operations/sums-and-differences-of-functions/,concept.math.add-and-subtract-functions-pointwise-determine-the-common-domain-and-interpret-combined-outputs,sums and differences of functions,Sums and differences of functions,Sums and differences of functions,Sums and differences of functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.9,/subjects/math/precalculus/transformations-and-function-operations/products-and-quotients-of-functions/,concept.math.multiply-and-divide-functions-pointwise-while-analyzing-zeros-restrictions-and-combined-graph-behavior,products and quotients of functions,Products and quotients of functions,Products and quotients of functions,Products and quotients of functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P2.10,/subjects/math/precalculus/transformations-and-function-operations/reconstructing-formulas-from-transformed-graphs/,concept.math.use-parent-family-features-transformations-and-one-or-more-data-points-to-construct-and-verify-a-function-formula,reconstructing formulas from transformed graphs,Reconstructing formulas from transformed graphs,Reconstructing formulas from transformed graphs,Reconstructing formulas from transformed graphs | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.1,/subjects/math/precalculus/composition-inverses-and-modeling/composition-as-sequential-processing/,concept.math.interpret-f-composed-with-g-as-applying-g-first-and-then-f-and-explain-why-order-generally-matters,function composition as sequential processing,Composition as sequential processing,Function Composition as Sequential Processing,Function Composition as Sequential Processing | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P3.2,/subjects/math/precalculus/composition-inverses-and-modeling/composition-from-formulas/,concept.math.evaluate-and-simplify-composite-functions-symbolically-while-preserving-grouping-and-domain-conditions,composition from formulas,Composition from formulas,Composition from formulas,Composition from formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.3,/subjects/math/precalculus/composition-inverses-and-modeling/composition-from-tables-and-graphs/,concept.math.evaluate-composite-functions-when-one-or-both-functions-are-represented-numerically-or-graphically,composition from tables and graphs,Composition from tables and graphs,Composition from tables and graphs,Composition from tables and graphs | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.4,/subjects/math/precalculus/composition-inverses-and-modeling/domains-of-composite-functions/,concept.math.determine-the-domain-of-a-composite-by-enforcing-both-inner-function-and-outer-input-conditions,domains of composite functions,Domains of composite functions,Domains of composite functions,Domains of composite functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.5,/subjects/math/precalculus/composition-inverses-and-modeling/one-to-one-functions/,concept.math.determine-whether-a-function-is-one-to-one-and-explain-why-one-to-one-behavior-is-required-for-an-inverse-function,one-to-one functions,One-to-one functions,One-to-one functions,One-to-one functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.6,/subjects/math/precalculus/composition-inverses-and-modeling/constructing-inverse-functions/,concept.math.construct-an-inverse-function-algebraically-and-state-the-swapped-domain-and-range,constructing inverse functions,Constructing inverse functions,Constructing inverse functions,Constructing inverse functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.7,/subjects/math/precalculus/composition-inverses-and-modeling/graphs-and-verification-of-inverses/,concept.math.verify-inverse-functions-using-composition-and-graph-symmetry-across-y-x,graphs and verification of inverses,Graphs and verification of inverses,Graphs and verification of inverses,Graphs and verification of inverses | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.8,/subjects/math/precalculus/composition-inverses-and-modeling/domain-restrictions-and-radical-inverses/,concept.math.restrict-power-functions-to-one-to-one-branches-and-connect-those-branches-to-principal-radical-functions,domain restrictions and radical inverses,Domain restrictions and radical inverses,Domain restrictions and radical inverses,Domain restrictions and radical inverses | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P3.9,/subjects/math/precalculus/composition-inverses-and-modeling/model-construction-and-validation/,concept.math.build-a-multi-stage-function-model-state-its-domain-and-assumptions-and-evaluate-whether-an-inverse-interpretation-is-meaningful,model construction and validation,Model construction and validation,Model construction and validation,Model construction and validation | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.1,/subjects/math/precalculus/polynomial-functions/power-functions-and-dominant-behavior/,concept.math.compare-power-functions-f-x-ax-p-and-explain-how-exponent-and-coefficient-control-domain-symmetry-end-behavior-and-growth,power functions and dominant behavior,Power functions and dominant behavior,Power functions and dominant behavior,Power functions and dominant behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.2,/subjects/math/precalculus/polynomial-functions/polynomial-functions-degree-and-leading-term/,concept.math.identify-degree-leading-term-coefficients-and-standard-form-and-explain-why-the-leading-term-governs-large-input-behavior,"polynomial functions, degree, and leading term","Polynomial functions, degree, and leading term","Polynomial functions, degree, and leading term","Polynomial functions, degree, and leading term | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.3,/subjects/math/precalculus/polynomial-functions/end-behavior/,concept.math.determine-polynomial-end-behavior-from-degree-parity-and-leading-coefficient-and-express-it-verbally-graphically-and-with-limit-style-notation,end behavior,End behavior,End behavior,End behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.4,/subjects/math/precalculus/polynomial-functions/zeros-factors-and-intercepts/,concept.math.connect-polynomial-zeros-linear-factors-solutions-and-x-intercepts-and-distinguish-exact-from-approximate-zeros,"zeros, factors, and intercepts","Zeros, factors, and intercepts","Zeros, factors, and intercepts","Zeros, factors, and intercepts | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.5,/subjects/math/precalculus/polynomial-functions/multiplicity-and-sign-behavior/,concept.math.relate-the-multiplicity-of-a-zero-to-sign-changes-crossing-or-touching-behavior-and-local-flattening,multiplicity and sign behavior,Multiplicity and sign behavior,Multiplicity and sign behavior,Multiplicity and sign behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.6,/subjects/math/precalculus/polynomial-functions/graph-construction-from-structure/,concept.math.construct-a-polynomial-graph-from-degree-leading-coefficient-zeros-multiplicities-sign-intervals-and-selected-points,graph construction from structure,Graph construction from structure,Graph construction from structure,Graph construction from structure | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.7,/subjects/math/precalculus/polynomial-functions/turning-points-and-local-versus-global-behavior/,concept.math.use-degree-bounds-graph-evidence-and-function-values-to-analyze-turning-points-and-extrema,turning points and local versus global behavior,Turning points and local versus global behavior,Turning points and local versus global behavior,Turning points and local versus global behavior | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.8,/subjects/math/precalculus/polynomial-functions/intermediate-value-reasoning-and-root-bounds/,concept.math.use-polynomial-continuity-and-sign-changes-to-guarantee-roots-and-bracket-them-within-intervals,intermediate value reasoning and root bounds,Intermediate Value reasoning and root bounds,Intermediate Value reasoning and root bounds,Intermediate Value reasoning and root bounds | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.9,/subjects/math/precalculus/polynomial-functions/polynomial-division/,concept.math.divide-polynomials-using-long-and-synthetic-division-and-verify-the-division-algorithm-p-dq-r,polynomial division,Polynomial division,Polynomial division,Polynomial division | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.10,/subjects/math/precalculus/polynomial-functions/remainder-and-factor-theorems/,concept.math.use-p-c-as-the-remainder-on-division-by-x-c-and-test-whether-x-c-is-a-factor,remainder and factor theorems,Remainder and factor theorems,Remainder and factor theorems,Remainder and factor theorems | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P4.11,/subjects/math/precalculus/polynomial-functions/rational-root-candidates-and-root-search/,concept.math.generate-all-possible-rational-zeros-of-an-integer-coefficient-polynomial-and-organize-an-efficient-exact-and-numerical-search,rational-root candidates and root search,Rational-root candidates and root search,Rational-root candidates and root search,Rational-root candidates and root search | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
