source_article,source_role,candidate_lesson,candidate_role,score,shared_primary_concept,shared_secondary_concepts,shared_skills,search_intent_similarity,main_content_similarity,current_link_exists,current_link_location,recommended_relationship,recommended_placement,reasoning,confidence
"/answers/calculus/integral-of-sec-cubed/","answer","/subjects/math/calculus/sequences-and-series/integral-test/","textbook-lesson","8","integral","","","0.333","0.333","false","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (true), lexical similarity (0.33), and complementary roles.","high-confidence-inferred"
"/answers/calculus/integral-of-sec-cubed/","answer","/subjects/math/calculus/integrals/indefinite-integrals-and-c/","textbook-lesson","8","integral","","","0.313","0.313","false","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (true), lexical similarity (0.31), and complementary roles.","high-confidence-inferred"
"/answers/calculus/integral-of-sec-cubed/","answer","/subjects/math/calculus/integrals/net-change-theorem/","textbook-lesson","8","integral","","","0.286","0.286","false","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (true), lexical similarity (0.29), and complementary roles.","high-confidence-inferred"
"/learn/calculus/integration-by-parts/","method-guide","/subjects/math/calculus/integrals/integration-by-parts/","textbook-lesson","8","integration-by-parts","","","0.333","0.333","false","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (true), lexical similarity (0.33), and complementary roles.","high-confidence-inferred"
"/learn/calculus/integration-by-parts/","method-guide","/subjects/math/calculus/integrals/indefinite-integrals-and-c/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/learn/calculus/integration-by-parts/","method-guide","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/","quick-answer","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","textbook-lesson","4","","","","0.250","0.250","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.25), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/","quick-answer","/subjects/math/calculus/derivatives/implicit-second-derivative/","textbook-lesson","4","","","","0.231","0.231","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.23), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/","quick-answer","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","textbook-lesson","4","","","","0.222","0.222","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.22), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","/subjects/math/calculus/derivatives/combined-rules/","textbook-lesson","4","","","","0.158","0.158","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.16), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","/subjects/math/calculus/derivatives/difference-quotient-algebra/","textbook-lesson","4","","","","0.158","0.158","false","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.16), and complementary roles.","medium-confidence-inferred"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","textbook-lesson","3","","","","0.143","0.143","false","","MANUAL_REVIEW","After the concise explanation or worked example","Heuristic score combines concept match (false), lexical similarity (0.14), and complementary roles.","low-confidence-inferred"
