lessonId,lessonPath,category,companionId,companionPath,companionRole,currentLinkExists,confidence,recommendedDecision,recommendedPlacement,recommendedAnchor,editorialDecision,editorialNotes
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-cauchy-mvt","/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","quick-explanation","article.resource-math-calculus-derivative-applications-curve-sketching-from-derivatives","/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","false","high-confidence-inferred","REVIEW","lesson-footer","See a clear explanation","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-cauchy-mvt","/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","reference","glossary-term.glossary-resource-antiderivative","/glossary/math/antiderivative/","glossary-term","false","high-confidence-inferred","REVIEW","lesson-footer","Review the definition","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-cauchy-mvt","/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","tool-or-visual","visual-guide.calculus-resource-derivative-rules-map","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","false","high-confidence-inferred","REVIEW","lesson-footer","Use the tool or visual","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-cauchy-mvt","/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","worked-example","worked-problem.worked-problem-fundamental-theorem-derivative","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","false","high-confidence-inferred","REVIEW","lesson-footer","See a worked example","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-convexity","/subjects/math/calculus/derivative-applications/advanced-convexity/","quick-explanation","article.resource-math-calculus-derivative-applications-curve-sketching-from-derivatives","/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","false","high-confidence-inferred","REVIEW","lesson-footer","See a clear explanation","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-convexity","/subjects/math/calculus/derivative-applications/advanced-convexity/","reference","glossary-term.glossary-resource-antiderivative","/glossary/math/antiderivative/","glossary-term","false","high-confidence-inferred","REVIEW","lesson-footer","Review the definition","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-convexity","/subjects/math/calculus/derivative-applications/advanced-convexity/","tool-or-visual","visual-guide.calculus-resource-derivative-rules-map","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","false","high-confidence-inferred","REVIEW","lesson-footer","Use the tool or visual","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-convexity","/subjects/math/calculus/derivative-applications/advanced-convexity/","worked-example","worked-problem.worked-problem-fundamental-theorem-derivative","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","false","high-confidence-inferred","REVIEW","lesson-footer","See a worked example","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-newton-convergence","/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","quick-explanation","article.resource-math-calculus-derivative-applications-curve-sketching-from-derivatives","/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","false","high-confidence-inferred","REVIEW","lesson-footer","See a clear explanation","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-newton-convergence","/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","reference","glossary-term.glossary-resource-antiderivative","/glossary/math/antiderivative/","glossary-term","false","high-confidence-inferred","REVIEW","lesson-footer","Review the definition","",""
"textbook-lesson.calc-1-unit-2b-derivative-applications-advanced-newton-convergence","/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","tool-or-visual","visual-guide.calculus-resource-derivative-rules-map","/subjects/math/calculus/visuals/derivative-rules-map/","visual-guide","false","high-confidence-inferred","REVIEW","lesson-footer","Use the tool or visual","",""
