exercise_id,lesson_id,unit,sequence,prompt,answer_guidance
P8.1-E01,P8.1,P8,1,Give one positive and one negative angle coterminal with 310 degrees.,670 degrees and -50 degrees.
P8.1-E02,P8.1,P8,2,Convert 11/6 revolutions to degrees and locate the terminal side.,"Use the method developed in the lesson: Combine successive rotations algebraically, then reduce the net angle. For all coterminal angles, write theta+360k degrees or theta+2kpi radians, where k is any integer. Verify all conditions and state the final result in the requested representation."
P8.1-E03,P8.1,P8,3,Find all angles coterminal with -140 degrees.,"Use the method developed in the lesson: Combine successive rotations algebraically, then reduce the net angle. For all coterminal angles, write theta+360k degrees or theta+2kpi radians, where k is any integer. Verify all conditions and state the final result in the requested representation."
P8.1-E04,P8.1,P8,4,Determine whether 35 degrees and 755 degrees share a terminal side.,"Use the method developed in the lesson: Combine successive rotations algebraically, then reduce the net angle. For all coterminal angles, write theta+360k degrees or theta+2kpi radians, where k is any integer. Verify all conditions and state the final result in the requested representation."
P8.1-E05,P8.1,P8,5,State the defining idea behind directed rotation and coterminal angles in one precise sentence.,A directed angle records rotation from an initial ray to a terminal ray. Counterclockwise rotation is positive and clockwise rotation is negative. Angles that end on the same terminal ray are coterminal.
P8.1-E06,P8.1,P8,6,What condition or domain restriction must remain visible in the solution?,"State the interval requested. The smallest positive coterminal angle lies in (0,360] degrees or (0,2pi] radians, while a principal standard-position angle is often chosen in [0,360) or [0,2pi)."
P8.1-E07,P8.1,P8,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to confuse the magnitude of rotation with the terminal-side location. An angle of 765 degrees is not “the same angle” as 45 degrees in every sense; it is coterminal with it.
P8.1-E08,P8.1,P8,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P8.1-E09,P8.1,P8,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P8.1-E10,P8.1,P8,10,Explain how this lesson's idea will be used later in the course.,The next lesson turns one revolution into a numerical measuring system using degrees.
P8.2-E01,P8.2,P8,1,"Convert 73.625 degrees to degrees, minutes, and seconds.",73 degrees 37 minutes 30 seconds.
P8.2-E02,P8.2,P8,2,Convert 2.35 revolutions to degrees.,"Use the method developed in the lesson: Before subtracting two headings or DMS measurements, convert them to a common form. For the smaller angle between directions, compare the direct difference with 360 degrees minus that difference. Verify all conditions and state the final result in the requested representation."
P8.2-E03,P8.2,P8,3,Convert 41 degrees 18 minutes 36 seconds to decimal degrees.,"Use the method developed in the lesson: Before subtracting two headings or DMS measurements, convert them to a common form. For the smaller angle between directions, compare the direct difference with 360 degrees minus that difference. Verify all conditions and state the final result in the requested representation."
P8.2-E04,P8.2,P8,4,Find the smaller angle between headings 28 degrees and 301 degrees.,"Use the method developed in the lesson: Before subtracting two headings or DMS measurements, convert them to a common form. For the smaller angle between directions, compare the direct difference with 360 degrees minus that difference. Verify all conditions and state the final result in the requested representation."
P8.2-E05,P8.2,P8,5,State the defining idea behind degree measure and angular coordinates in one precise sentence.,Degree measure partitions one full revolution into 360 equal parts. A degree may be subdivided into 60 minutes and each minute into 60 seconds.
