unit,title,act,role,governing_question,canonical_root,root_action,lesson_count,investigation_route,review_route,practice_route,mastery_route,answer_key_route,estimated_hours,release_phase
A0,Arithmetic Readiness and Repair,Prologue - Making quantity dependable,Adaptive support layer with complete instruction for students who need numerical repair.,What must be dependable about numbers before symbols can carry meaning?,/subjects/math/algebra/arithmetic-readiness/,create,10,/subjects/math/algebra/arithmetic-readiness/investigation/,/subjects/math/algebra/arithmetic-readiness/review/,/subjects/math/algebra/arithmetic-readiness/practice/,/subjects/math/algebra/arithmetic-readiness/mastery-check/,/subjects/math/algebra/arithmetic-readiness/mastery-check/answer-key/,7.0,1
A1,"Quantities, Variables, and Mathematical Objects",Act I - Giving general names to quantities,Establish what algebra describes before asking students to manipulate it.,How can symbols name quantities and relationships without erasing their meaning?,/subjects/math/algebra/quantities-variables/,create,8,,/subjects/math/algebra/quantities-variables/review/,/subjects/math/algebra/quantities-variables/practice/,/subjects/math/algebra/quantities-variables/mastery-check/,/subjects/math/algebra/quantities-variables/mastery-check/answer-key/,6.1,1
A2,"Expressions, Equality, and Linear Equations",Act II - Preserving truth while changing form,Build the central equivalence engine of elementary algebra.,How can an equation change form without changing its solutions?,/subjects/math/algebra/linear-equations/,create,10,/subjects/math/algebra/linear-equations/investigation/,/subjects/math/algebra/linear-equations/review/,/subjects/math/algebra/linear-equations/practice/,/subjects/math/algebra/linear-equations/mastery-check/,/subjects/math/algebra/linear-equations/mastery-check/answer-key/,7.0,1
A3,"Inequalities, Absolute Value, and Formulas",Act III - Describing regions and constraints,"Extend algebra from exact equality to ranges, distance conditions, and reusable formulas.",How do we describe all values satisfying a condition?,/subjects/math/algebra/inequalities-absolute-value/,create,8,,/subjects/math/algebra/inequalities-absolute-value/review/,/subjects/math/algebra/inequalities-absolute-value/practice/,/subjects/math/algebra/inequalities-absolute-value/mastery-check/,/subjects/math/algebra/inequalities-absolute-value/mastery-check/answer-key/,6.1,1
A4,"Ratios, Rates, and Linear Relationships",Act IV - Turning constant change into lines,"Connect proportional reasoning, slope, equations, graphs, and linear models.",How do two quantities change together at a constant rate?,/subjects/math/algebra/linear-relationships/,claim-existing-topic-root,11,/subjects/math/algebra/linear-relationships/investigation/,/subjects/math/algebra/linear-relationships/review/,/subjects/math/algebra/linear-relationships/practice/,/subjects/math/algebra/linear-relationships/mastery-check/,/subjects/math/algebra/linear-relationships/mastery-check/answer-key/,7.5,2
A5,Systems and Simultaneous Constraints,Act V - Satisfying several conditions at once,"Extend linear reasoning to multiple equations, variables, and feasible regions.",Which values satisfy several requirements simultaneously?,/subjects/math/algebra/systems/,create,8,/subjects/math/algebra/systems/investigation/,/subjects/math/algebra/systems/review/,/subjects/math/algebra/systems/practice/,/subjects/math/algebra/systems/mastery-check/,/subjects/math/algebra/systems/mastery-check/answer-key/,6.1,2
A6,"Exponents, Roots, and Power Structure",Act VI - Leaving constant additive change,"Introduce repeated multiplication, its inverse questions, and the first nonlinear families.",How do repeated multiplication and roots create new structures?,/subjects/math/algebra/exponents-roots/,create,9,,/subjects/math/algebra/exponents-roots/review/,/subjects/math/algebra/exponents-roots/practice/,/subjects/math/algebra/exponents-roots/mastery-check/,/subjects/math/algebra/exponents-roots/mastery-check/answer-key/,6.5,3
A7,Polynomial Operations and Special Products,Act VII - Building expressions from powers,Develop the forward multiplication machinery needed for factoring and quadratics.,How can expressions built from powers be combined systematically?,/subjects/math/algebra/polynomial-operations/,create,9,,/subjects/math/algebra/polynomial-operations/review/,/subjects/math/algebra/polynomial-operations/practice/,/subjects/math/algebra/polynomial-operations/mastery-check/,/subjects/math/algebra/polynomial-operations/mastery-check/answer-key/,6.5,3
A8,Factoring and Quadratic Equations,Act VIII - Revealing hidden multiplication,Use reverse multiplication to expose zeros and develop the full quadratic-solving toolkit.,How can hidden product structure reveal solutions?,/subjects/math/algebra/factoring-quadratics/,create,12,/subjects/math/algebra/factoring-quadratics/investigation/,/subjects/math/algebra/factoring-quadratics/review/,/subjects/math/algebra/factoring-quadratics/practice/,/subjects/math/algebra/factoring-quadratics/mastery-check/,/subjects/math/algebra/factoring-quadratics/mastery-check/answer-key/,7.9,3
A9,Quadratic Functions and Models,"Act IX - One nonlinear object, several useful forms","Connect quadratic equations to parabola geometry, modeling, and optimization.",What does each algebraic form reveal about a parabola?,/subjects/math/algebra/quadratic-functions/,create,8,/subjects/math/algebra/quadratic-functions/investigation/,/subjects/math/algebra/quadratic-functions/review/,/subjects/math/algebra/quadratic-functions/practice/,/subjects/math/algebra/quadratic-functions/mastery-check/,/subjects/math/algebra/quadratic-functions/mastery-check/answer-key/,6.1,3
A10,"Rational Expressions, Equations, and Variation",Act X - Tracking where division is allowed,"Develop algebra with variable denominators, explicit restrictions, and inverse variation.",What changes when a variable expression appears in a denominator?,/subjects/math/algebra/rational-expressions/,claim-existing-topic-root,10,,/subjects/math/algebra/rational-expressions/review/,/subjects/math/algebra/rational-expressions/practice/,/subjects/math/algebra/rational-expressions/mastery-check/,/subjects/math/algebra/rational-expressions/mastery-check/answer-key/,7.0,4
A11,"Radicals, Rational Exponents, and Complex Numbers",Act XI - Reversing powers and enlarging the number system,"Develop exact root arithmetic, radical equations, extraneous-solution logic, and basic complex arithmetic.","How do we reverse powers, and what happens when the real numbers are insufficient?",/subjects/math/algebra/radicals-complex-numbers/,create,10,,/subjects/math/algebra/radicals-complex-numbers/review/,/subjects/math/algebra/radicals-complex-numbers/practice/,/subjects/math/algebra/radicals-complex-numbers/mastery-check/,/subjects/math/algebra/radicals-complex-numbers/mastery-check/answer-key/,7.0,4
A12,Functions as a Unifying Language,Act XII - Organizing algebra around input and output,Consolidate earlier relationships into function language without preempting full Precalculus theory.,How can one input-output framework organize the algebraic families already studied?,/subjects/math/algebra/functions/,create,8,,/subjects/math/algebra/functions/review/,/subjects/math/algebra/functions/practice/,/subjects/math/algebra/functions/mastery-check/,/subjects/math/algebra/functions/mastery-check/answer-key/,6.1,4
A13,Exponential and Logarithmic Algebra,Act XIII - Describing multiplicative change and undoing it,"Complete the Algebra course with repeated proportional change, inverse exponentiation, and equation solving.",How do we describe multiplicative change and solve for an unknown exponent?,/subjects/math/algebra/exponential-logarithmic/,create,11,/subjects/math/algebra/exponential-logarithmic/investigation/,/subjects/math/algebra/exponential-logarithmic/review/,/subjects/math/algebra/exponential-logarithmic/practice/,/subjects/math/algebra/exponential-logarithmic/mastery-check/,/subjects/math/algebra/exponential-logarithmic/mastery-check/answer-key/,7.5,4
A14,Algebra Synthesis and Precalculus Readiness,Finale - Choosing structure instead of chapter labels,"Turn accumulated techniques into independent classification, strategy, checking, and modeling.","When the problem is unlabeled, how do we decide what structure it has and what method applies?",/subjects/math/algebra/precalculus-readiness/,create,7,/subjects/math/algebra/precalculus-readiness/investigation/,/subjects/math/algebra/precalculus-readiness/review/,/subjects/math/algebra/precalculus-readiness/practice/,/subjects/math/algebra/precalculus-readiness/mastery-check/,/subjects/math/algebra/precalculus-readiness/mastery-check/answer-key/,5.7,5
