compactUrl,textbookCounterpart,compactIntent,textbookIntent,decision,rationale,compactLinksToOwner,ownerLinksToCompact
/subjects/math/algebra/expressions-equations/combining-like-terms/,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,error-prevention explainer,complete ordered lesson: Equivalent expressions and like terms,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/expressions-equations/distributive-property/,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,why distribution reaches every term,complete ordered lesson: Equivalent expressions and like terms,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,focused substitution example,complete ordered lesson: Substitution and evaluation,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,variable-expression error prevention,complete ordered lesson: Grouping and order of operations,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/expressions-equations/solving-linear-equations/,/subjects/math/algebra/linear-equations/multistep-linear-equations/,balance-model explainer,complete ordered lesson: Multistep linear equations,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/expressions-equations/variables-on-both-sides/,/subjects/math/algebra/linear-equations/variables-on-both-sides/,which side to move terms to,complete ordered lesson: Variables on both sides,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/linear-relationships/equation-from-two-points/,/subjects/math/algebra/linear-relationships/equations-of-lines/,two-point worked method,complete ordered lesson: Equations of lines,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/,/subjects/math/algebra/linear-relationships/equations-of-lines/,standard-form graphing method,complete ordered lesson: Equations of lines,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/linear-relationships/interpreting-linear-models/,/subjects/math/algebra/linear-relationships/linear-models-fit-and-residuals/,slope and intercept interpretation,"complete ordered lesson: Linear models, fit, and residuals",KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/,/subjects/math/algebra/linear-relationships/parallel-and-perpendicular-lines/,vertical-line exception,complete ordered lesson: Parallel and perpendicular lines,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/,/subjects/math/algebra/linear-relationships/equations-of-lines/,equation-form selection,complete ordered lesson: Equations of lines,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/,/subjects/math/algebra/linear-relationships/slope-from-graphs-and-tables/,conceptual rate-of-change explainer,complete ordered lesson: Slope from graphs and tables,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/polynomials-factoring/completing-the-square/,/subjects/math/algebra/factoring-quadratics/completing-the-square-algebraically/,finding the missing square term,complete ordered lesson: Completing the square algebraically,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/polynomials-factoring/exponent-rules/,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,why exponent rules follow from factors,"complete ordered lesson: Power of a power, product, and quotient",KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/polynomials-factoring/factoring-trinomials/,/subjects/math/algebra/factoring-quadratics/factoring-x-2-bx-c/,factoring-method selection,complete ordered lesson: Factoring x^2+bx+c,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/polynomials-factoring/greatest-common-factor/,/subjects/math/algebra/factoring-quadratics/factoring-as-reverse-distribution-and-gcf/,when to factor the GCF first,complete ordered lesson: Factoring as reverse distribution and GCF,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/polynomials-factoring/multiply-polynomials/,/subjects/math/algebra/polynomial-operations/polynomial-times-polynomial/,term-loss prevention checklist,complete ordered lesson: Polynomial times polynomial,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/polynomials-factoring/special-factor-patterns/,/subjects/math/algebra/factoring-quadratics/special-factoring-patterns/,pattern-selection comparison,complete ordered lesson: Special factoring patterns,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,reading a growth or decay model,complete ordered lesson: Growth and decay models,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/radicals-exponents-functions/function-notation/,/subjects/math/algebra/functions/function-notation-and-evaluation/,meaning of function notation,complete ordered lesson: Function notation and evaluation,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/,,inverse-versus-reciprocal comparison,No complete textbook counterpart exists,KEEP_UNIQUE,No equivalent textbook lesson exists; retain the comparison page.,true,true
/subjects/math/algebra/radicals-exponents-functions/rational-exponents/,/subjects/math/algebra/radicals-complex-numbers/rational-exponents/,why fractional exponents mean roots,complete ordered lesson: Rational exponents,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/,/subjects/math/algebra/radicals-complex-numbers/simplifying-radicals/,perfect-power factor recognition,complete ordered lesson: Simplifying radicals,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/,/subjects/math/algebra/radicals-complex-numbers/solving-radical-equations/,extraneous-root checking,complete ordered lesson: Solving radical equations,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/,/subjects/math/algebra/rational-expressions/addition-and-subtraction/,finding the LCD,complete ordered lesson: Addition and subtraction,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/rational-expressions/direct-inverse-variation/,/subjects/math/algebra/rational-expressions/direct-inverse-and-joint-variation/,variation-model selection,"complete ordered lesson: Direct, inverse, and joint variation",REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/rational-expressions/rational-domain-restrictions/,/subjects/math/algebra/rational-expressions/rational-expressions-and-restrictions/,why canceled factors remain restricted,complete ordered lesson: Rational expressions and restrictions,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/,/subjects/math/algebra/rational-expressions/complex-rational-expressions/,focused simplification method,complete ordered lesson: Complex rational expressions,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/,/subjects/math/algebra/rational-expressions/simplifying-rational-expressions-course/,factor-cancellation explainer,complete ordered lesson: Simplifying rational expressions,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/rational-expressions/solving-rational-equations/,/subjects/math/algebra/rational-expressions/rational-equations/,forbidden and extraneous solutions,complete ordered lesson: Rational equations,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/systems-inequalities/choosing-system-method/,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,method-selection decision guide,complete ordered lesson: Systems as simultaneous conditions,KEEP_DISTINCT_ROLE,The compact page answers a narrower student task than the complete lesson.,true,true
/subjects/math/algebra/systems-inequalities/compound-inequalities/,/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,and-versus-or logic,complete ordered lesson: Compound inequalities,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
/subjects/math/algebra/systems-inequalities/elimination-systems/,/subjects/math/algebra/systems/elimination/,when to choose elimination,complete ordered lesson: Elimination,REPOSITION,Retain URL but make the compact decision/error intent subordinate to the full lesson.,true,true
