route,description,length,unique,useful
"/","Find free academic answers, complete explanations, practical tools, and focused practice.","89","true","true"
"/about/","Better Grades publishing and product standards.","47","false","false"
"/accessibility/","Better Grades publishing and product standards.","47","false","false"
"/answers/","Find specific problems, immediate answers, complete solutions, and related practice.","84","true","true"
"/answers/calculus/integral-of-sec-cubed/","See the full integration-by-parts derivation, verification, and common mistakes.","80","true","true"
"/corrections/","Better Grades publishing and product standards.","47","false","false"
"/editorial-policy/","Better Grades publishing and product standards.","47","false","false"
"/glossary/","Browse subject-specific definitions, symbols, and notation conventions.","71","true","true"
"/glossary/math/","Look up mathematics terms and symbols with visual notation and concise definitions.","83","true","true"
"/glossary/math/absolute-convergence/","Learn the definition, notation, interpretation, and use of absolute convergence in calculus.","92","true","true"
"/glossary/math/antiderivative/","Learn the definition, notation, interpretation, and use of antiderivative in calculus.","86","true","true"
"/glossary/math/chain-rule/","Learn the definition, notation, interpretation, and use of chain rule in calculus.","82","true","true"
"/glossary/math/continuity/","Learn the definition, notation, interpretation, and use of continuity in calculus.","82","true","true"
"/glossary/math/conventions/","See the variable, naming, and notation rules used throughout Better Grades mathematics content.","95","true","true"
"/glossary/math/critical-number/","Learn the definition, notation, interpretation, and use of critical number in calculus.","87","true","true"
"/glossary/math/definite-integral/","Learn the definition, notation, interpretation, and use of definite integral in calculus.","89","true","true"
"/glossary/math/derivative/","Learn the definition, notation, interpretation, and use of derivative in calculus.","82","true","true"
"/glossary/math/fundamental-theorem-calculus/","Learn the definition, notation, interpretation, and use of fundamental theorem calculus in calculus.","100","true","true"
"/glossary/math/geometric-series/","Learn the definition, notation, interpretation, and use of geometric series in calculus.","88","true","true"
"/glossary/math/implicit-differentiation/","Learn the definition, notation, interpretation, and use of implicit differentiation in calculus.","96","true","true"
"/glossary/math/improper-integral/","Learn the definition, notation, interpretation, and use of improper integral in calculus.","89","true","true"
"/glossary/math/integration-by-parts/","Learn the definition, notation, interpretation, and use of integration by parts in calculus.","92","true","true"
"/glossary/math/limit/","Learn the definition, notation, interpretation, and use of limit in calculus.","77","true","true"
