visual_id,lesson_id,unit,role,title
P0.1-V1,P0.1,P0,Anchor figure,Readiness strand map
P0.1-V2,P0.1,P0,Mechanism figure,Evidence-to-repair flow
P0.1-V3,P0.1,P0,Comparison and error figure,"Same score, different needs"
P0.2-V1,P0.2,P0,Anchor figure,Equation-family decision map
P0.2-V2,P0.2,P0,Mechanism figure,Equivalence versus implication ledger
P0.2-V3,P0.2,P0,Comparison and error figure,Negative scaling reflection
P0.3-V1,P0.3,P0,Anchor figure,Factoring decision sequence
P0.3-V2,P0.3,P0,Mechanism figure,Trinomial product grid
P0.3-V3,P0.3,P0,Comparison and error figure,Factor-to-zero preview
P0.4-V1,P0.4,P0,Anchor figure,Legal versus illegal cancellation
P0.4-V2,P0.4,P0,Mechanism figure,Original-domain overlay
P0.4-V3,P0.4,P0,Comparison and error figure,Candidate filter
P0.5-V1,P0.5,P0,Anchor figure,Principal root versus equation roots
P0.5-V2,P0.5,P0,Mechanism figure,Radical-exponent equivalence
P0.5-V3,P0.5,P0,Comparison and error figure,Extraneous-solution map
P0.6-V1,P0.6,P0,Anchor figure,Exponent-law derivation
P0.6-V2,P0.6,P0,Mechanism figure,Exponential-log inverse pair
P0.6-V3,P0.6,P0,Comparison and error figure,False sum-law counterexamples
P0.7-V1,P0.7,P0,Anchor figure,Evaluate-versus-solve probes
P0.7-V2,P0.7,P0,Mechanism figure,Graph-feature atlas
P0.7-V3,P0.7,P0,Comparison and error figure,Function and nonfunction relations
P0.8-V1,P0.8,P0,Anchor figure,Complete-solution workflow
P0.8-V2,P0.8,P0,Mechanism figure,Exact versus approximate forms
P0.8-V3,P0.8,P0,Comparison and error figure,Method-selection network
P1.1-V1,P1.1,P1,Anchor figure,Quantity dependency map
P1.1-V2,P1.1,P1,Mechanism figure,Parameter family graph
P1.1-V3,P1.1,P1,Comparison and error figure,Unit consistency ledger
P1.2-V1,P1.2,P1,Anchor figure,Mapping comparison
P1.2-V2,P1.2,P1,Mechanism figure,Vertical-line derivation
P1.2-V3,P1.2,P1,Comparison and error figure,Discrete and continuous functions
P1.3-V1,P1.3,P1,Anchor figure,Vertical versus horizontal tracing
P1.3-V2,P1.3,P1,Mechanism figure,Substitution grouping
P1.3-V3,P1.3,P1,Comparison and error figure,Preimage set
P1.4-V1,P1.4,P1,Anchor figure,Four-representation dashboard
P1.4-V2,P1.4,P1,Mechanism figure,Discrete versus continuous connection
P1.4-V3,P1.4,P1,Comparison and error figure,Exact rule versus fitted model
P1.5-V1,P1.5,P1,Anchor figure,Restriction icons
P1.5-V2,P1.5,P1,Mechanism figure,Condition intersection
P1.5-V3,P1.5,P1,Comparison and error figure,Retained hole
P1.6-V1,P1.6,P1,Anchor figure,Nested domains
P1.6-V2,P1.6,P1,Mechanism figure,Discrete versus continuous domains
P1.6-V3,P1.6,P1,Comparison and error figure,Extrapolation warning
P1.7-V1,P1.7,P1,Anchor figure,Domain-range projections
P1.7-V2,P1.7,P1,Mechanism figure,Behavior intervals
P1.7-V3,P1.7,P1,Comparison and error figure,Local versus absolute extrema
P1.8-V1,P1.8,P1,Anchor figure,Piecewise rule selector
P1.8-V2,P1.8,P1,Mechanism figure,Endpoint gallery
P1.8-V3,P1.8,P1,Comparison and error figure,Boundary behavior comparison
P1.9-V1,P1.9,P1,Anchor figure,Movable secant
P1.9-V2,P1.9,P1,Mechanism figure,"Same average, different paths"
P1.9-V3,P1.9,P1,Comparison and error figure,Interval-dependent secants
P1.10-V1,P1.10,P1,Anchor figure,Modeling cycle
P1.10-V2,P1.10,P1,Mechanism figure,Competing extrapolations
P1.10-V3,P1.10,P1,Comparison and error figure,Residual plot
P2.1-V1,P2.1,P2,Anchor figure,Parent-function gallery
P2.1-V2,P2.1,P2,Mechanism figure,Feature table
P2.1-V3,P2.1,P2,Comparison and error figure,Pattern detector
P2.2-V1,P2.2,P2,Anchor figure,Input-output machine
P2.2-V2,P2.2,P2,Mechanism figure,Coordinate mapping table
P2.2-V3,P2.2,P2,Comparison and error figure,Horizontal sign-reversal derivation
P2.3-V1,P2.3,P2,Anchor figure,Vertical point mapping
P2.3-V2,P2.3,P2,Mechanism figure,Feature ledger
P2.3-V3,P2.3,P2,Comparison and error figure,Baseline interpretation
P2.4-V1,P2.4,P2,Anchor figure,Input relocation
P2.4-V2,P2.4,P2,Mechanism figure,Domain interval translation
P2.4-V3,P2.4,P2,Comparison and error figure,Delay interpretation
P2.5-V1,P2.5,P2,Anchor figure,Axis reflection mappings
P2.5-V2,P2.5,P2,Mechanism figure,Even-odd-neither gallery
P2.5-V3,P2.5,P2,Comparison and error figure,Symmetry table
P2.6-V1,P2.6,P2,Anchor figure,Scaling point grid
P2.6-V2,P2.6,P2,Mechanism figure,Parabola scale comparison
P2.6-V3,P2.6,P2,Comparison and error figure,Boundary scaling
P2.7-V1,P2.7,P2,Anchor figure,General coordinate map
P2.7-V2,P2.7,P2,Mechanism figure,Feature-first builder
P2.7-V3,P2.7,P2,Comparison and error figure,Equivalent sequences
P2.8-V1,P2.8,P2,Anchor figure,Pointwise addition
P2.8-V2,P2.8,P2,Mechanism figure,Domain intersection
P2.8-V3,P2.8,P2,Comparison and error figure,Revenue-cost-profit gap
