cluster,genericOwner,genericOwnerH1,satelliteCount,satelliteRoles,decision,rule
derivative,/subjects/math/calculus/derivatives/what-does-derivative-mean/,What Does the Word Derivative Mean in Calculus?,156,"{""answer-key"":4,""assessment"":13,""error-prevention"":2,""learn-deep"":95,""method-instruction"":9,""method-selection"":4,""navigation-hub"":2,""practice-exam"":4,""quick-answer"":3,""reference"":1,""reference-definition"":1,""review"":14,""tool"":1,""visual-guide"":2,""worked-example"":2}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
chain rule,/subjects/math/calculus/derivatives/chain-rule/,The Chain Rule as a structure-reading skill,18,"{""assessment"":1,""learn-deep"":9,""method-instruction"":2,""review"":1,""visual-guide"":1,""worked-example"":4,""worksheet"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
product rule,/subjects/math/calculus/derivatives/product-rule/,The Product Rule,1,"{""learn-deep"":1,""quick-answer"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
quotient rule,/subjects/math/calculus/derivatives/quotient-rule/,The Quotient Rule,1,"{""learn-deep"":1,""quick-answer"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
limits,/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/,What a Limit Means,91,"{""answer-key"":2,""assessment"":7,""learn-deep"":43,""method-instruction"":9,""method-selection"":6,""navigation-hub"":1,""practice"":5,""practice-exam"":2,""quick-answer"":2,""reference-definition"":3,""review"":7,""worked-example"":4,""worksheet"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
continuity,/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/,Continuity at a Point,80,"{""answer-key"":2,""assessment"":7,""learn-deep"":38,""method-instruction"":9,""method-selection"":6,""navigation-hub"":1,""practice"":5,""practice-exam"":2,""quick-answer"":2,""reference-definition"":2,""review"":7}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
integration,/subjects/math/calculus/integrals/antiderivatives/,Antiderivatives: Reversing a Derivative,83,"{""answer-key"":4,""assessment"":2,""error-prevention"":2,""learn-deep"":48,""method-instruction"":3,""method-selection"":6,""navigation-hub"":2,""practice-exam"":4,""quick-answer"":4,""reference-definition"":1,""review"":2,""tool"":1,""visual-guide"":1,""worked-example"":3,""worksheet"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
u-substitution,/subjects/math/calculus/integrals/substitution/,Substitution: Reversing the Chain Rule,5,"{""learn-deep"":4,""method-instruction"":1,""method-selection"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
partial fractions,/subjects/math/calculus/integrals/partial-fractions/,Partial Fractions,1,"{""learn-deep"":1,""method-instruction"":1}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
improper integrals,/subjects/math/calculus/integration-techniques/improper-integrals/,"Improper integrals are limits, not unusual notation",2,"{""learn-deep"":3}",ADJUDICATED,"Generic owner teaches the deep unmodified query; assessments, references, tools, worked examples, reviews, and named subtopics retain qualified intent."
