visual_id,lesson_id,unit,sequence,roadmap_brief,mathematical_mechanism
P8.1-V1,P8.1,P8,1,Directed-angle animation with positive and negative arrows.,"To reduce an angle, add or subtract complete revolutions until the value lies in the desired interval. The operation changes the accumulated rotation but preserves the terminal side because every full revolution returns the ray to its prior direction."
P8.1-V2,P8.1,P8,2,Terminal-side family showing theta+360k degrees.,"To reduce an angle, add or subtract complete revolutions until the value lies in the desired interval. The operation changes the accumulated rotation but preserves the terminal side because every full revolution returns the ray to its prior direction."
P8.1-V3,P8.1,P8,3,Common error panel contrasting angle size with terminal-side location.,"To reduce an angle, add or subtract complete revolutions until the value lies in the desired interval. The operation changes the accumulated rotation but preserves the terminal side because every full revolution returns the ray to its prior direction."
P8.2-V1,P8.2,P8,1,One revolution partitioned into degrees.,"Degree-minute-second notation is a base-60 place-value system. To convert to decimal degrees, divide minutes by 60 and seconds by 3600. To reverse the conversion, separate the whole degrees and repeatedly multiply the fractional part by 60."
P8.2-V2,P8.2,P8,2,Degree-minute-second place-value diagram.,"Degree-minute-second notation is a base-60 place-value system. To convert to decimal degrees, divide minutes by 60 and seconds by 3600. To reverse the conversion, separate the whole degrees and repeatedly multiply the fractional part by 60."
P8.2-V3,P8.2,P8,3,Heading circle with clockwise navigation convention.,"Degree-minute-second notation is a base-60 place-value system. To convert to decimal degrees, divide minutes by 60 and seconds by 3600. To reverse the conversion, separate the whole degrees and repeatedly multiply the fractional part by 60."
P8.3-V1,P8.3,P8,1,Two different circles with equal s/r ratio.,"Radians convert circular geometry into ordinary real-number input. On the unit circle, radius one makes the numerical angle equal to signed arc length. This is why radians are the natural input for trigonometric functions and later Calculus formulas."
P8.3-V2,P8.3,P8,2,Real-number line wrapping onto a circle.,"Radians convert circular geometry into ordinary real-number input. On the unit circle, radius one makes the numerical angle equal to signed arc length. This is why radians are the natural input for trigonometric functions and later Calculus formulas."
P8.3-V3,P8.3,P8,3,Degree-radian conversion wheel based on 2pi=360 degrees.,"Radians convert circular geometry into ordinary real-number input. On the unit circle, radius one makes the numerical angle equal to signed arc length. This is why radians are the natural input for trigonometric functions and later Calculus formulas."
P8.4-V1,P8.4,P8,1,"Sector with radius, arc, and angle labels.",The radian formulas work without an extra conversion factor because the radian definition already incorporates the circumference-to-radius relationship.
P8.4-V2,P8.4,P8,2,Derivation from fraction of full circumference and area.,The radian formulas work without an extra conversion factor because the radian definition already incorporates the circumference-to-radius relationship.
P8.4-V3,P8.4,P8,3,Error panel showing why degree inputs need conversion.,The radian formulas work without an extra conversion factor because the radian definition already incorporates the circumference-to-radius relationship.
P8.5-V1,P8.5,P8,1,Rotating disk with equal angular but different linear speeds.,"The formula follows from s=r theta: divide both sides by elapsed time to obtain s/t=r(theta/t). In a belt or no-slip contact, connected rims share tangential speed even when their radii and angular speeds differ."
P8.5-V2,P8.5,P8,2,Unit-conversion pipeline from rpm to rad/s.,"The formula follows from s=r theta: divide both sides by elapsed time to obtain s/t=r(theta/t). In a belt or no-slip contact, connected rims share tangential speed even when their radii and angular speeds differ."
P8.5-V3,P8.5,P8,3,Pulley-belt diagram with equal tangential speed.,"The formula follows from s=r theta: divide both sides by elapsed time to obtain s/t=r(theta/t). In a belt or no-slip contact, connected rims share tangential speed even when their radii and angular speeds differ."
P8.6-V1,P8.6,P8,1,Real-line strip wrapped around a circle.,Positive t moves counterclockwise and negative t moves clockwise. Reducing t modulo 2pi identifies a convenient coterminal input without changing the terminal point.
P8.6-V2,P8.6,P8,2,Multiple real inputs connected to one terminal point.,Positive t moves counterclockwise and negative t moves clockwise. Reducing t modulo 2pi identifies a convenient coterminal input without changing the terminal point.
P8.6-V3,P8.6,P8,3,Signed motion with clockwise and counterclockwise travel.,Positive t moves counterclockwise and negative t moves clockwise. Reducing t modulo 2pi identifies a convenient coterminal input without changing the terminal point.
P8.7-V1,P8.7,P8,1,Unit-circle point with coordinate projections.,"A known coordinate immediately gives sine and cosine. If one coordinate is known, use the unit-circle equation to find the other, then use the quadrant to choose the correct sign."
P8.7-V2,P8.7,P8,2,Coordinate signs by quadrant.,"A known coordinate immediately gives sine and cosine. If one coordinate is known, use the unit-circle equation to find the other, then use the quadrant to choose the correct sign."
P8.7-V3,P8.7,P8,3,Domain-range diagram for sine and cosine.,"A known coordinate immediately gives sine and cosine. If one coordinate is known, use the unit-circle equation to find the other, then use the quadrant to choose the correct sign."
P8.8-V1,P8.8,P8,1,Special-triangle derivations inside the unit circle.,"Once first-quadrant coordinates are derived, reflection symmetry places the same magnitudes in every quadrant with signs determined by coordinate location."
P8.8-V2,P8.8,P8,2,Exact-value symmetry map.,"Once first-quadrant coordinates are derived, reflection symmetry places the same magnitudes in every quadrant with signs determined by coordinate location."
P8.8-V3,P8.8,P8,3,Blank unit circle rebuilt from geometric anchors.,"Once first-quadrant coordinates are derived, reflection symmetry places the same magnitudes in every quadrant with signs determined by coordinate location."
P8.9-V1,P8.9,P8,1,"Original angle, terminal side, and reference triangle.","Reduce the angle if needed, identify the quadrant, find the acute distance to the nearest x-axis, evaluate the special-angle magnitude, and assign signs from the coordinate quadrant."
P8.9-V2,P8.9,P8,2,Quadrant sign chart derived from coordinates.,"Reduce the angle if needed, identify the quadrant, find the acute distance to the nearest x-axis, evaluate the special-angle magnitude, and assign signs from the coordinate quadrant."
P8.9-V3,P8.9,P8,3,Error panel separating coterminal angle from reference angle.,"Reduce the angle if needed, identify the quadrant, find the acute distance to the nearest x-axis, evaluate the special-angle magnitude, and assign signs from the coordinate quadrant."
P8.10-V1,P8.10,P8,1,Six-function ratio web.,The unit-circle identity produces two more identities by division: 1+tan^2 t=sec^2 t and cot^2 t+1=csc^2 t.
P8.10-V2,P8.10,P8,2,Pythagorean identity derivation by division.,The unit-circle identity produces two more identities by division: 1+tan^2 t=sec^2 t and cot^2 t+1=csc^2 t.
P8.10-V3,P8.10,P8,3,Domain-exclusion unit circle with zero coordinates marked.,The unit-circle identity produces two more identities by division: 1+tan^2 t=sec^2 t and cot^2 t+1=csc^2 t.
P9.1-V1,P9.1,P9,1,Linked unit-circle point and sine graph.,"The graph is not an arbitrary wave. Every point (t,sin t) is paired with the same input’s position on the circle. The rising and falling portions correspond to the point moving upward or downward."
P9.1-V2,P9.1,P9,2,Quarter-cycle table-to-curve construction.,"The graph is not an arbitrary wave. Every point (t,sin t) is paired with the same input’s position on the circle. The rising and falling portions correspond to the point moving upward or downward."
P9.1-V3,P9.1,P9,3,Odd-symmetry visual across the origin.,"The graph is not an arbitrary wave. Every point (t,sin t) is paired with the same input’s position on the circle. The rising and falling portions correspond to the point moving upward or downward."
P9.2-V1,P9.2,P9,1,Linked unit-circle and cosine graph.,Comparing sine and cosine on the same axes reveals that they describe perpendicular projections of one rotating point rather than unrelated formulas.
P9.2-V2,P9.2,P9,2,Sine-cosine phase overlay.,Comparing sine and cosine on the same axes reveals that they describe perpendicular projections of one rotating point rather than unrelated formulas.
P9.2-V3,P9.2,P9,3,Even-symmetry reflection across y-axis.,Comparing sine and cosine on the same axes reveals that they describe perpendicular projections of one rotating point rather than unrelated formulas.
P9.3-V1,P9.3,P9,1,Maximum-minimum-midline diagram.,"Amplitude is a distance, so it is nonnegative. The midline is the average of the maximum and minimum, and amplitude is half their difference."
P9.3-V2,P9.3,P9,2,Positive and negative A comparison.,"Amplitude is a distance, so it is nonnegative. The midline is the average of the maximum and minimum, and amplitude is half their difference."
P9.3-V3,P9.3,P9,3,Vertical transformation coordinate mapping.,"Amplitude is a distance, so it is nonnegative. The midline is the average of the maximum and minimum, and amplitude is half their difference."
P9.4-V1,P9.4,P9,1,Cycle-length graph with one period marked.,"For a time model, angular frequency omega=2pi f=2pi/T. The units distinguish cycles per second, seconds per cycle, and radians per second."
P9.4-V2,P9.4,P9,2,Frequency-period reciprocal diagram.,"For a time model, angular frequency omega=2pi f=2pi/T. The units distinguish cycles per second, seconds per cycle, and radians per second."
P9.4-V3,P9.4,P9,3,Ordinary versus angular frequency unit chart.,"For a time model, angular frequency omega=2pi f=2pi/T. The units distinguish cycles per second, seconds per cycle, and radians per second."
P9.5-V1,P9.5,P9,1,Feature timing map for maxima and crossings.,"Sine and cosine forms can model the same cycle with different phase choices. The best form often places a known maximum, minimum, or midline crossing at a simple input."
P9.5-V2,P9.5,P9,2,Coordinate-mapping derivation of C.,"Sine and cosine forms can model the same cycle with different phase choices. The best form often places a known maximum, minimum, or midline crossing at a simple input."
P9.5-V3,P9.5,P9,3,Equivalent sine and cosine timing forms.,"Sine and cosine forms can model the same cycle with different phase choices. The best form often places a known maximum, minimum, or midline crossing at a simple input."
P9.6-V1,P9.6,P9,1,Five-parameter sinusoid dashboard.,The same sinusoid has infinitely many equivalent sine and cosine forms. Equivalence can be checked by graph features or identities.
P9.6-V2,P9.6,P9,2,Feature-to-parameter construction diagram.,The same sinusoid has infinitely many equivalent sine and cosine forms. Equivalence can be checked by graph features or identities.
P9.6-V3,P9.6,P9,3,Equivalent sine/cosine overlay.,The same sinusoid has infinitely many equivalent sine and cosine forms. Equivalence can be checked by graph features or identities.
P9.7-V1,P9.7,P9,1,Sine/cosine quotient sign chart aligned to tangent graph.,"The half-turn period follows because both sine and cosine change sign after pi, leaving their ratio unchanged."
P9.7-V2,P9.7,P9,2,Terminal-ray slope interpretation.,"The half-turn period follows because both sine and cosine change sign after pi, leaving their ratio unchanged."
P9.7-V3,P9.7,P9,3,Transformed tangent branch with asymptotes.,"The half-turn period follows because both sine and cosine change sign after pi, leaving their ratio unchanged."
P9.8-V1,P9.8,P9,1,Cosine and secant overlay with reciprocal points.,"The reciprocal graph cannot cross the interval (-1,1), so its range is (-infinity,-1] union [1,infinity) before transformations."
P9.8-V2,P9.8,P9,2,Sine and cosecant overlay.,"The reciprocal graph cannot cross the interval (-1,1), so its range is (-infinity,-1] union [1,infinity) before transformations."
P9.8-V3,P9.8,P9,3,Error panel preventing branch connections across asymptotes.,"The reciprocal graph cannot cross the interval (-1,1), so its range is (-infinity,-1] union [1,infinity) before transformations."
P9.9-V1,P9.9,P9,1,Six-function comparison matrix.,A comparison table makes reciprocal and quotient relationships visible and supports rapid graph identification.
P9.9-V2,P9.9,P9,2,Even/odd graph overlays.,A comparison table makes reciprocal and quotient relationships visible and supports rapid graph identification.
P9.9-V3,P9.9,P9,3,Period tiles showing repeated intervals.,A comparison table makes reciprocal and quotient relationships visible and supports rapid graph identification.
P9.10-V1,P9.10,P9,1,Restricted sine/cosine/tangent branches.,"The inverse domains are the original ranges: arcsin and arccos accept [-1,1], while arctan accepts all real inputs."
P9.10-V2,P9.10,P9,2,Inverse reflection across y=x.,"The inverse domains are the original ranges: arcsin and arccos accept [-1,1], while arctan accepts all real inputs."
P9.10-V3,P9.10,P9,3,Inverse-versus-reciprocal comparison.,"The inverse domains are the original ranges: arcsin and arccos accept [-1,1], while arctan accepts all real inputs."
P9.11-V1,P9.11,P9,1,Horizontal-line intersections with periodic graphs.,Exact unit-circle values should be used when possible. Otherwise find a principal inverse angle and use graph symmetry to generate the remaining branch before adding periods.
P9.11-V2,P9.11,P9,2,Unit-circle solution families.,Exact unit-circle values should be used when possible. Otherwise find a principal inverse angle and use graph symmetry to generate the remaining branch before adding periods.
P9.11-V3,P9.11,P9,3,General-solution number line.,Exact unit-circle values should be used when possible. Otherwise find a principal inverse angle and use graph symmetry to generate the remaining branch before adding periods.
P9.12-V1,P9.12,P9,1,Data scatter with fitted sinusoid and residuals.,"Residuals should be small and patternless if the sinusoidal form captures the main structure. Changing amplitude, drifting midline, multiple frequencies, or irregular timing produce systematic residuals."
P9.12-V2,P9.12,P9,2,Parameter meanings on one annual cycle.,"Residuals should be small and patternless if the sinusoidal form captures the main structure. Changing amplitude, drifting midline, multiple frequencies, or irregular timing produce systematic residuals."
P9.12-V3,P9.12,P9,3,Damped or modulated waveform comparison.,"Residuals should be small and patternless if the sinusoidal form captures the main structure. Changing amplitude, drifting midline, multiple frequencies, or irregular timing produce systematic residuals."
P10.1-V1,P10.1,P10,1,Identity-versus-equation truth-set diagram.,The common domain matters because algebraic simplification can remove a factor that was originally zero or introduce a reciprocal that excludes additional inputs.
P10.1-V2,P10.1,P10,2,Common-domain overlay.,The common domain matters because algebraic simplification can remove a factor that was originally zero or introduce a reciprocal that excludes additional inputs.
P10.1-V3,P10.1,P10,3,Valid one-sided proof versus circular proof.,The common domain matters because algebraic simplification can remove a factor that was originally zero or introduce a reciprocal that excludes additional inputs.
P10.2-V1,P10.2,P10,1,Unit-circle identity triangle.,"These identities are function equalities on common domains, so division-based versions exclude inputs where the divisor is zero."
P10.2-V2,P10.2,P10,2,Division derivations with domain notes.,"These identities are function equalities on common domains, so division-based versions exclude inputs where the divisor is zero."
P10.2-V3,P10.2,P10,3,Reciprocal-quotient identity web.,"These identities are function equalities on common domains, so division-based versions exclude inputs where the divisor is zero."
P10.3-V1,P10.3,P10,1,Strategy decision tree.,"Working from the more complicated side avoids replacing a simple target with a larger expression. Sometimes both sides may be transformed independently to the same third expression, but the logic must remain clear."
P10.3-V2,P10.3,P10,2,Conjugate multiplication mechanism.,"Working from the more complicated side avoids replacing a simple target with a larger expression. Sometimes both sides may be transformed independently to the same third expression, but the logic must remain clear."
P10.3-V3,P10.3,P10,3,Before-and-after complexity comparison.,"Working from the more complicated side avoids replacing a simple target with a larger expression. Sometimes both sides may be transformed independently to the same third expression, but the logic must remain clear."
P10.4-V1,P10.4,P10,1,Geometric derivation using rotated vectors.,The formulas preserve both magnitude and sign interactions; they are not obtained by distributing sine or cosine across addition.
P10.4-V2,P10.4,P10,2,Exact-angle decomposition map.,The formulas preserve both magnitude and sign interactions; they are not obtained by distributing sine or cosine across addition.
P10.4-V3,P10.4,P10,3,Signal phase-combination diagram.,The formulas preserve both magnitude and sign interactions; they are not obtained by distributing sine or cosine across addition.
P10.5-V1,P10.5,P10,1,Double-angle derivation from sum formulas.,Different cosine forms are useful depending on which function must be eliminated.
P10.5-V2,P10.5,P10,2,Three-form cosine identity selector.,Different cosine forms are useful depending on which function must be eliminated.
P10.5-V3,P10.5,P10,3,Unit-circle angle-doubling geometry.,Different cosine forms are useful depending on which function must be eliminated.
