concept_id,label,confidence,route_count
"concept.general.about","about","high-confidence-inferred","1"
"concept.general.absolute-convergence","absolute convergence","high-confidence-inferred","1"
"concept.calculus.absolute-versus-conditional-convergence","absolute versus conditional convergence","high-confidence-inferred","1"
"concept.general.accessibility","accessibility","high-confidence-inferred","1"
"concept.algebra.add-subtract-rational-expressions","add subtract rational expressions","high-confidence-inferred","1"
"concept.algebra.algebra","algebra","high-confidence-inferred","1"
"concept.general.answers","answers","high-confidence-inferred","1"
"concept.calculus.calculus","calculus","high-confidence-inferred","2"
"concept.calculus.calculus-1-final","calculus 1 final","high-confidence-inferred","1"
"concept.calculus.calculus-2-final","calculus 2 final","high-confidence-inferred","1"
"concept.calculus.calculus-foundations","calculus foundations","high-confidence-inferred","1"
"concept.calculus.calculus-readiness","calculus readiness","high-confidence-inferred","1"
"concept.general.chain-rule","chain-rule","high-confidence-inferred","19"
"concept.algebra.choosing-system-method","choosing system method","high-confidence-inferred","1"
"concept.algebra.combining-like-terms","combining like terms","high-confidence-inferred","1"
"concept.algebra.completing-the-square","completing the square","high-confidence-inferred","1"
"concept.algebra.compound-inequalities","compound inequalities","high-confidence-inferred","1"
"concept.general.continuity","continuity","high-confidence-inferred","82"
"concept.general.conventions","conventions","high-confidence-inferred","1"
"concept.calculus.convergence-test","convergence-test","high-confidence-inferred","3"
"concept.general.corrections","corrections","high-confidence-inferred","1"
"concept.general.critical-number","critical number","high-confidence-inferred","1"
"concept.general.derivative","derivative","high-confidence-inferred","138"
"concept.algebra.direct-inverse-variation","direct inverse variation","high-confidence-inferred","1"
"concept.algebra.distributive-property","distributive property","high-confidence-inferred","1"
"concept.general.editorial-policy","editorial policy","high-confidence-inferred","1"
"concept.algebra.elimination-systems","elimination systems","high-confidence-inferred","1"
"concept.algebra.equation-from-two-points","equation from two points","high-confidence-inferred","1"
"concept.algebra.evaluating-expressions-by-substitution","evaluating expressions by substitution","high-confidence-inferred","1"
"concept.algebra.exponent-rules","exponent rules","high-confidence-inferred","1"
"concept.algebra.exponential-growth-and-decay","exponential growth and decay","high-confidence-inferred","1"
"concept.algebra.expression-checker","expression checker","high-confidence-inferred","1"
"concept.algebra.expressions-equations","expressions equations","high-confidence-inferred","1"
"concept.algebra.factoring-trinomials","factoring trinomials","high-confidence-inferred","1"
"concept.calculus.finite-geometric-sum","finite geometric sum","high-confidence-inferred","1"
"concept.calculus.formula-sheets","formula sheets","high-confidence-inferred","1"
"concept.algebra.function-notation","function notation","high-confidence-inferred","1"
"concept.general.fundamental-theorem-calculus","fundamental theorem calculus","high-confidence-inferred","1"
"concept.general.general","general","high-confidence-inferred","1"
"concept.general.geometric-series","geometric-series","high-confidence-inferred","5"
"concept.general.glossary","glossary","high-confidence-inferred","1"
"concept.algebra.graphing-linear-equations-from-standard-form","graphing linear equations from standard form","high-confidence-inferred","1"
"concept.algebra.graphing-linear-inequalities","graphing linear inequalities","high-confidence-inferred","1"
"concept.algebra.greatest-common-factor","greatest common factor","high-confidence-inferred","1"
"concept.calculus.harmonic-series","harmonic-series","high-confidence-inferred","2"
