lesson_id,unit,title,word_count,practice_items,visuals
P8.1,P8,Directed rotation and coterminal angles,2128,10,3
P8.2,P8,Degree measure and angular coordinates,2009,10,3
P8.3,P8,Radian measure as normalized arc length,2070,10,3
P8.4,P8,Arc length and sector area,1932,10,3
P8.5,P8,Angular speed and linear speed,2016,10,3
P8.6,P8,Wrapping the real line around the unit circle,1810,10,3
P8.7,P8,Sine and cosine as coordinate functions,1827,10,3
P8.8,P8,Exact values from special triangles,1751,10,3
P8.9,P8,"Reference angles, quadrants, and signs",1763,10,3
P8.10,P8,Tangent and the reciprocal functions,1808,10,3
P9.1,P9,Building the sine graph from circular motion,1869,10,3
P9.2,P9,Building the cosine graph from circular motion,1677,10,3
P9.3,P9,"Amplitude, reflection, and midline",1702,10,3
P9.4,P9,"Period, frequency, and angular frequency",1696,10,3
P9.5,P9,Phase shift and timing,1752,10,3
P9.6,P9,The general sinusoidal function,1781,10,3
P9.7,P9,Tangent and cotangent graphs,1665,10,3
P9.8,P9,Secant and cosecant graphs,1688,10,3
P9.9,P9,"Symmetry, periodicity, and the six-function family",1632,10,3
P9.10,P9,Inverse trigonometric functions and branch restrictions,1759,10,3
P9.11,P9,Basic trigonometric equations,1635,10,3
P9.12,P9,Sinusoidal modeling and regression,1736,10,3
P10.1,P10,"Identities, equations, and proof strategy",2014,10,3
P10.2,P10,"Reciprocal, quotient, and Pythagorean identities",1626,10,3
P10.3,P10,Verifying identities strategically,1825,10,3
P10.4,P10,Sum and difference formulas,1646,10,3
P10.5,P10,Double-angle formulas,1581,10,3
P10.6,P10,Half-angle and power-reduction formulas,1670,10,3
P10.7,P10,Product-to-sum and sum-to-product formulas,1689,10,3
P10.8,P10,Equations using fundamental identities,1657,10,3
P10.9,P10,Quadratic-form trigonometric equations,1638,10,3
P10.10,P10,Multiple-angle equations,1609,10,3
P10.11,P10,General solutions and interval restrictions,1687,10,3
P10.12,P10,Exact and numerical trigonometric equation solving,1752,10,3
P11.1,P11,Right triangles and trigonometric ratios,1816,10,3
P11.2,P11,Right-triangle applications,1776,10,3
P11.3,P11,The Law of Sines,1746,10,3
P11.4,P11,The ambiguous SSA case,1785,10,3
P11.5,P11,The Law of Cosines,1715,10,3
P11.6,P11,Triangle area formulas,1721,10,3
P11.7,P11,Bearings and navigation,1675,10,3
P11.8,P11,Vectors geometrically and in components,1613,10,3
P11.9,P11,"Vector operations, magnitude, direction, and unit vectors",1652,10,3
P11.10,P11,"Dot product, angles, and projection",1728,10,3
P12.1,P12,Conics as loci and the circle foundation,1755,10,3
P12.2,P12,Parabolas from focus and directrix,1697,10,3
P12.3,P12,Ellipses,1585,10,3
P12.4,P12,Hyperbolas,1659,10,3
P12.5,P12,Completing squares in two variables,1650,10,3
P12.6,P12,Translated conics and general equations,1699,10,3
P12.7,P12,Degenerate conics and classification,1620,10,3
P12.8,P12,Eccentricity and unified conic structure,1672,10,3
P12.9,P12,Nonlinear systems involving conics,1601,10,3
P12.10,P12,Conic models and applications,1705,10,3
P13.1,P13,Parametric equations and orientation,1679,10,3
P13.2,P13,Eliminating a parameter,1640,10,3
P13.3,P13,Parametric motion and vector-valued position,1596,10,3
P13.4,P13,"Intersections, repeated points, and multiple parameter values",1654,10,3
P13.5,P13,Polar coordinates and nonuniqueness,1619,10,3
P13.6,P13,Cartesian and polar conversion,1598,10,3
P13.7,P13,Graphing polar equations,1682,10,3
P13.8,P13,Polar symmetry and repeated tracing,1698,10,3
P13.9,P13,Common polar families and polar conics,1642,10,3
P13.10,P13,Complex numbers in polar form,1551,10,3
P13.11,P13,"Complex multiplication, division, and powers",1568,10,3
P13.12,P13,Roots of complex numbers,1659,10,3
P14.1,P14,Sequences as discrete functions,1609,10,3
P14.2,P14,Explicit and recursive descriptions,1645,10,3
P14.3,P14,Arithmetic sequences,1553,10,3
P14.4,P14,Geometric sequences,1575,10,3
P14.5,P14,"Recurrence, iteration, and discrete dynamical models",1631,10,3
P14.6,P14,Sigma notation and finite sums,1616,10,3
P14.7,P14,Arithmetic series,1569,10,3
P14.8,P14,Finite geometric series,1592,10,3
P14.9,P14,Infinite geometric series and convergence,1662,10,3
P14.10,P14,Mathematical induction,1749,10,3
P14.11,P14,Pascal's triangle and binomial coefficients,1558,10,3
P14.12,P14,The binomial theorem and discrete-model synthesis,1573,10,3
P15.1,P15,Function-family classification,1812,10,3
P15.2,P15,Model selection and comparison,1650,10,3
P15.3,P15,Average rate of change revisited,1641,10,3
P15.4,P15,Difference quotients,1568,10,3
P15.5,P15,Secant lines and tangent intuition,1682,10,3
P15.6,P15,Local linearity and magnification,1673,10,3
P15.7,P15,Intuitive limits,1676,10,3
P15.8,P15,Continuity and discontinuity,1728,10,3
P15.9,P15,Infinite behavior and asymptotes,1747,10,3
P15.10,P15,Numerical approximation and sensitivity,1661,10,3
P15.11,P15,"Accumulation, finite sums, and area preview",1764,10,3
P15.12,P15,Precalculus synthesis capstone,1798,10,3
