id,path,title,page_type,unit,action,indexable,sequence,notes
algebra-course-hub,/subjects/math/algebra/,"Algebra: Quantities, Equations, and Structure",course-hub,,replace-content-preserve-canonical,yes,0,"Full course map first; retain quick guides, tools, practice, and current compact article library below the canonical course path."
algebra-a0-hub,/subjects/math/algebra/arithmetic-readiness/,Unit A0: Arithmetic Readiness and Repair,unit-hub,A0,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,Number lines and signed quantities,lesson,A0,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,Whole-number operations and estimation,lesson,A0,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,"Factors, primes, GCF, and LCM",lesson,A0,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,Fractions as numbers,lesson,A0,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,Multiplying and dividing fractions,lesson,A0,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,"Adding, subtracting, and complex fractions",lesson,A0,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,"Fractions, decimals, and percents",lesson,A0,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,"Ratios, rates, proportions, and percent change",lesson,A0,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,Units and dimensional reasoning,lesson,A0,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,"Powers, roots, and scientific notation",lesson,A0,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a0-review,/subjects/math/algebra/arithmetic-readiness/review/,Arithmetic Readiness and Repair: cumulative review,review,A0,create,yes,,
algebra-a0-practice,/subjects/math/algebra/arithmetic-readiness/practice/,Arithmetic Readiness and Repair: mixed practice,practice,A0,create,yes,,
algebra-a0-mastery,/subjects/math/algebra/arithmetic-readiness/mastery-check/,Arithmetic Readiness and Repair: mastery check,mastery-check,A0,create,yes,,
algebra-a0-mastery-key,/subjects/math/algebra/arithmetic-readiness/mastery-check/answer-key/,Arithmetic Readiness and Repair: mastery answer key,answer-key,A0,create,yes,,
algebra-a0-investigation,/subjects/math/algebra/arithmetic-readiness/investigation/,Arithmetic Readiness and Repair: investigation,investigation,A0,create,yes,,
algebra-a1-hub,/subjects/math/algebra/quantities-variables/,"Unit A1: Quantities, Variables, and Mathematical Objects",unit-hub,A1,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a1-1,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,Variables and changing quantities,lesson,A1,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-2,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,"Expressions, equations, and inequalities",lesson,A1,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-3,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,"Terms, factors, coefficients, and structure",lesson,A1,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-4,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,Substitution and evaluation,lesson,A1,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-5,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,Grouping and order of operations,lesson,A1,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-6,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,Properties of real-number operations,lesson,A1,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-7,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,Equivalent expressions and like terms,lesson,A1,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-8,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,"Formulas, units, and mathematical communication",lesson,A1,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a1-review,/subjects/math/algebra/quantities-variables/review/,"Quantities, Variables, and Mathematical Objects: cumulative review",review,A1,create,yes,,
algebra-a1-practice,/subjects/math/algebra/quantities-variables/practice/,"Quantities, Variables, and Mathematical Objects: mixed practice",practice,A1,create,yes,,
algebra-a1-mastery,/subjects/math/algebra/quantities-variables/mastery-check/,"Quantities, Variables, and Mathematical Objects: mastery check",mastery-check,A1,create,yes,,
algebra-a1-mastery-key,/subjects/math/algebra/quantities-variables/mastery-check/answer-key/,"Quantities, Variables, and Mathematical Objects: mastery answer key",answer-key,A1,create,yes,,
algebra-a2-hub,/subjects/math/algebra/linear-equations/,"Unit A2: Expressions, Equality, and Linear Equations",unit-hub,A2,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a2-1,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,"Solutions, solution sets, and checking",lesson,A2,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-2,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,Addition and subtraction equations,lesson,A2,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-3,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,Multiplication and division equations,lesson,A2,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-4,/subjects/math/algebra/linear-equations/simplifying-before-solving/,Simplifying before solving,lesson,A2,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-5,/subjects/math/algebra/linear-equations/multistep-linear-equations/,Multistep linear equations,lesson,A2,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-6,/subjects/math/algebra/linear-equations/equations-with-fractions-and-decimals/,Equations with fractions and decimals,lesson,A2,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-7,/subjects/math/algebra/linear-equations/variables-on-both-sides/,Variables on both sides,lesson,A2,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-8,/subjects/math/algebra/linear-equations/one-solution-no-solution-or-infinitely-many/,"One solution, no solution, or infinitely many",lesson,A2,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-9,/subjects/math/algebra/linear-equations/translating-one-variable-models/,Translating one-variable models,lesson,A2,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-10,/subjects/math/algebra/linear-equations/linear-equation-strategy-studio/,Linear equation strategy studio,lesson,A2,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a2-review,/subjects/math/algebra/linear-equations/review/,"Expressions, Equality, and Linear Equations: cumulative review",review,A2,create,yes,,
algebra-a2-practice,/subjects/math/algebra/linear-equations/practice/,"Expressions, Equality, and Linear Equations: mixed practice",practice,A2,create,yes,,
algebra-a2-mastery,/subjects/math/algebra/linear-equations/mastery-check/,"Expressions, Equality, and Linear Equations: mastery check",mastery-check,A2,create,yes,,
algebra-a2-mastery-key,/subjects/math/algebra/linear-equations/mastery-check/answer-key/,"Expressions, Equality, and Linear Equations: mastery answer key",answer-key,A2,create,yes,,
algebra-a2-investigation,/subjects/math/algebra/linear-equations/investigation/,"Expressions, Equality, and Linear Equations: investigation",investigation,A2,create,yes,,
algebra-a3-hub,/subjects/math/algebra/inequalities-absolute-value/,"Unit A3: Inequalities, Absolute Value, and Formulas",unit-hub,A3,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a3-1,/subjects/math/algebra/inequalities-absolute-value/inequalities-and-truth-sets/,Inequalities and truth sets,lesson,A3,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-2,/subjects/math/algebra/inequalities-absolute-value/solving-linear-inequalities/,Solving linear inequalities,lesson,A3,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a3-3,/subjects/math/algebra/inequalities-absolute-value/why-negative-scaling-reverses-order/,Why negative scaling reverses order,lesson,A3,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
