assessment_id,unit,kind,path,question_count,duration_minutes,grading,answer_route,cumulative_share,indexable
a0-review,A0,review,/subjects/math/algebra/arithmetic-readiness/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a0-practice,A0,practice,/subjects/math/algebra/arithmetic-readiness/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a0-mastery,A0,mastery-check,/subjects/math/algebra/arithmetic-readiness/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/arithmetic-readiness/mastery-check/answer-key/,15% older + 25% recent,yes
a0-investigation,A0,performance-task,/subjects/math/algebra/arithmetic-readiness/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a1-review,A1,review,/subjects/math/algebra/quantities-variables/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a1-practice,A1,practice,/subjects/math/algebra/quantities-variables/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a1-mastery,A1,mastery-check,/subjects/math/algebra/quantities-variables/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/quantities-variables/mastery-check/answer-key/,15% older + 25% recent,yes
a2-review,A2,review,/subjects/math/algebra/linear-equations/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a2-practice,A2,practice,/subjects/math/algebra/linear-equations/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a2-mastery,A2,mastery-check,/subjects/math/algebra/linear-equations/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/linear-equations/mastery-check/answer-key/,15% older + 25% recent,yes
a2-investigation,A2,performance-task,/subjects/math/algebra/linear-equations/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a3-review,A3,review,/subjects/math/algebra/inequalities-absolute-value/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a3-practice,A3,practice,/subjects/math/algebra/inequalities-absolute-value/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a3-mastery,A3,mastery-check,/subjects/math/algebra/inequalities-absolute-value/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/inequalities-absolute-value/mastery-check/answer-key/,15% older + 25% recent,yes
a4-review,A4,review,/subjects/math/algebra/linear-relationships/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a4-practice,A4,practice,/subjects/math/algebra/linear-relationships/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a4-mastery,A4,mastery-check,/subjects/math/algebra/linear-relationships/mastery-check/,24-32,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/linear-relationships/mastery-check/answer-key/,15% older + 25% recent,yes
a4-investigation,A4,performance-task,/subjects/math/algebra/linear-relationships/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a5-review,A5,review,/subjects/math/algebra/systems/review/,25-35,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a5-practice,A5,practice,/subjects/math/algebra/systems/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
a5-mastery,A5,mastery-check,/subjects/math/algebra/systems/mastery-check/,18-24,30-55,deterministic + rubric-scored explanation prompts,/subjects/math/algebra/systems/mastery-check/answer-key/,15% older + 25% recent,yes
a5-investigation,A5,performance-task,/subjects/math/algebra/systems/investigation/,1 multistage investigation,45-90,"rubric; setup, representation, computation, checking, interpretation",attempt-gated model solution on same route or separate teacher-only artifact,integrated,yes
a6-review,A6,review,/subjects/math/algebra/exponents-roots/review/,35-50,35-60,mixed self-check + selected deterministic checks,embedded attempt-gated reveals,25% prior units,yes
a6-practice,A6,practice,/subjects/math/algebra/exponents-roots/practice/,20-40,flexible,deterministic where supported; symbolic equivalence server-side,attempt-gated per item,30% prior units,yes
