exercise_id,lesson_id,unit,sequence,prompt,answer
P0.1-E01,P0.1,P0,1,Classify 2(x-3)=2x-6.,Identity; all real numbers.
P0.1-E02,P0.1,P0,2,Factor x^2-5x+6.,(x-2)(x-3).
P0.1-E03,P0.1,P0,3,State the excluded input of 1/(x-7).,x≠7.
P0.1-E04,P0.1,P0,4,Evaluate f(-2) for f(x)=x^2+3x.,-2.
P0.1-E05,P0.1,P0,5,State the defining idea of readiness diagnostic and routing in one precise sentence.,A readiness diagnostic separates prerequisite strands so that a learner receives targeted repair rather than one vague total score.
P0.1-E06,P0.1,P0,6,State the condition that must be checked before using the method.,"The diagnostic is a routing tool, not a grade. A secure strand may be passed while another remains active for repair."
P0.1-E07,P0.1,P0,7,Describe the first invalid step in the common error.,A frequent error is treating the total percentage as a verdict instead of using the pattern of misses to select the next action.
P0.1-E08,P0.1,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.1-E09,P0.1,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.1-E10,P0.1,P0,10,State how this lesson connects forward.,"The next lesson, Equation and inequality repair, uses this result as part of a larger structure."
P0.2-E01,P0.2,P0,1,Solve x^2-7x+12=0.,x=3 or 4.
P0.2-E02,P0.2,P0,2,Solve |2x-1|=7.,x=4 or -3.
P0.2-E03,P0.2,P0,3,Solve 3^(x+1)=81.,x=3.
P0.2-E04,P0.2,P0,4,Solve 4-2x≤10.,x≥-3.
P0.2-E05,P0.2,P0,5,State the defining idea of equation and inequality repair in one precise sentence.,Equation solving identifies inputs that make a statement true; inequality solving identifies an interval or union of inputs.
P0.2-E06,P0.2,P0,6,State the condition that must be checked before using the method.,"Multiplying or dividing an inequality by a negative number reverses the order. Rational, radical, logarithmic, and even-power steps require domain checks."
P0.2-E07,P0.2,P0,7,Describe the first invalid step in the common error.,A frequent error is reporting every algebraic candidate as a solution without checking the original equation.
P0.2-E08,P0.2,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.2-E09,P0.2,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.2-E10,P0.2,P0,10,State how this lesson connects forward.,"The next lesson, Factoring and polynomial structure repair, uses this result as part of a larger structure."
P0.3-E01,P0.3,P0,1,Factor 8x^2-12x.,4x(2x-3).
P0.3-E02,P0.3,P0,2,Factor x^2-25.,(x-5)(x+5).
P0.3-E03,P0.3,P0,3,Factor x^2+10x+25.,(x+5)^2.
P0.3-E04,P0.3,P0,4,List zeros of (x+1)^2(x-5).,-1 with multiplicity 2; 5 with multiplicity 1.
P0.3-E05,P0.3,P0,5,State the defining idea of factoring and polynomial structure repair in one precise sentence.,"Factoring rewrites a polynomial sum as a product whose factors reveal zeros, multiplicities, and sign behavior."
P0.3-E06,P0.3,P0,6,State the condition that must be checked before using the method.,A factorization is complete only over the stated coefficient system. Repeated powers may hide a quadratic-in-form pattern.
P0.3-E07,P0.3,P0,7,Describe the first invalid step in the common error.,A frequent error is stopping after one factorization step or cancelling terms that are not common factors.
P0.3-E08,P0.3,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P0.3-E09,P0.3,P0,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P0.3-E10,P0.3,P0,10,State how this lesson connects forward.,"The next lesson, Rational expressions and restrictions repair, uses this result as part of a larger structure."
P0.4-E01,P0.4,P0,1,State restrictions of 5/[x(x-3)].,"x≠0,3."
P0.4-E02,P0.4,P0,2,Simplify (x^2-16)/(x-4).,"x+4, x≠4."
P0.4-E03,P0.4,P0,3,Solve 1/x=1/5.,x=5.
P0.4-E04,P0.4,P0,4,Why can (x+4)/x not become 4?,x is not a factor of the whole numerator.
P0.4-E05,P0.4,P0,5,State the defining idea of rational expressions and restrictions repair in one precise sentence.,"A rational expression is a quotient, so every original denominator zero is excluded even when a common factor cancels."
P0.4-E06,P0.4,P0,6,State the condition that must be checked before using the method.,"A divisor rational expression must be nonzero. Cancellation is division by a common factor, not removal of matching terms across addition."
P0.4-E07,P0.4,P0,7,Describe the first invalid step in the common error.,A frequent error is erasing the original restriction after cancellation.
P0.4-E08,P0.4,P0,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
