unit,unit_title,lesson_id,sequence,lesson_title,canonical_path,page_type,outcome,opening,prerequisites,story_beat,checkpoint,exit_check,exercise_count,bridge_forward,release_phase,assessment_runtime,search_priority
A0,Arithmetic Readiness and Repair,A0.1,1,Number lines and signed quantities,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,lesson,"Interpret sign as position, direction, and change; compare signed numbers and rewrite subtraction as addition of an opposite.","Temperature, elevation, and account-balance changes that cross zero.",No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that interpret sign as position, direction, and change; compare signed numbers and rewrite subtraction as addition of an opposite..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret sign as position, direction, and change; compare signed numbers and rewrite subtraction as addition of an opposite.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make whole-number operations and estimation feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.2,2,Whole-number operations and estimation,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,lesson,"Use place value, the four operations, rounding, and order of magnitude to judge whether exact output is plausible.",Estimate a grocery total before seeing the receipt.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that use place value, the four operations, rounding, and order of magnitude to judge whether exact output is plausible..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Use place value, the four operations, rounding, and order of magnitude to judge whether exact output is plausible.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make factors, primes, gcf, and lcm feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.3,3,"Factors, primes, GCF, and LCM",/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,lesson,Decompose whole numbers multiplicatively and distinguish common-factor questions from common-multiple questions.,Arrange supplies into equal groups and schedule repeating events.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that decompose whole numbers multiplicatively and distinguish common-factor questions from common-multiple questions..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Decompose whole numbers multiplicatively and distinguish common-factor questions from common-multiple questions.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make fractions as numbers feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.4,4,Fractions as numbers,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,lesson,"Interpret a fraction as a number, quotient, ratio, and operator and locate it on a number line.",Compare one-half of different-sized objects and locate both on a common scale.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that interpret a fraction as a number, quotient, ratio, and operator and locate it on a number line..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret a fraction as a number, quotient, ratio, and operator and locate it on a number line.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make multiplying and dividing fractions feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.5,5,Multiplying and dividing fractions,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,lesson,Interpret fraction multiplication as scaling and division as measuring how many groups fit.,Scale a recipe down and ask how many servings fit in a remaining amount.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that interpret fraction multiplication as scaling and division as measuring how many groups fit..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret fraction multiplication as scaling and division as measuring how many groups fit.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make adding, subtracting, and complex fractions feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.6,6,"Adding, subtracting, and complex fractions",/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,lesson,Use common-sized parts to combine fractions and simplify expressions containing fractions within fractions.,Combine partial quantities measured in different unit fractions.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that use common-sized parts to combine fractions and simplify expressions containing fractions within fractions..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Use common-sized parts to combine fractions and simplify expressions containing fractions within fractions.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make fractions, decimals, and percents feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.7,7,"Fractions, decimals, and percents",/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,lesson,Translate among equivalent representations and choose the form most useful for a question.,"Represent the same discount as a fraction, decimal, and percent.",No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that translate among equivalent representations and choose the form most useful for a question..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Translate among equivalent representations and choose the form most useful for a question.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make ratios, rates, proportions, and percent change feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.8,8,"Ratios, rates, proportions, and percent change",/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,lesson,"Distinguish ratios from rates, build equivalent comparisons, and interpret percent increase or decrease.","Compare prices, speeds, and before-after quantities.",No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that distinguish ratios from rates, build equivalent comparisons, and interpret percent increase or decrease..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Distinguish ratios from rates, build equivalent comparisons, and interpret percent increase or decrease.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make units and dimensional reasoning feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.9,9,Units and dimensional reasoning,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,lesson,Treat units as multiplicative factors that constrain valid operations and conversions.,Convert a travel speed and test whether a proposed formula has sensible units.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that treat units as multiplicative factors that constrain valid operations and conversions..",One clean attempt-before-reveal item that tests the exact decision described by this outcome: Treat units as multiplicative factors that constrain valid operations and conversions.,"['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,"The closing paragraph should make powers, roots, and scientific notation feel like the next necessary question.",1,course-unit deterministic checker + attempt-gated reveal,82
A0,Arithmetic Readiness and Repair,A0.10,10,"Powers, roots, and scientific notation",/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,lesson,"Interpret repeated multiplication, inverse power questions, and orders of magnitude.",Compare microscopic and astronomical measurements and reconstruct side length from area.,No prior Algebra lesson required; diagnostic support is embedded.,"Within Prologue - Making quantity dependable, this page advances the course by establishing that interpret repeated multiplication, inverse power questions, and orders of magnitude..","One clean attempt-before-reveal item that tests the exact decision described by this outcome: Interpret repeated multiplication, inverse power questions, and orders of magnitude.","['One direct item requiring the core procedure or interpretation.', 'One mixed item requiring method selection, explanation, or a check.']",18-24 items (12-18 for lighter repair pages; 25-35 for major solving/factoring pages).,The closing paragraph should make variables and changing quantities feel like the next necessary question.,1,course-unit deterministic checker + attempt-gated reveal,82
