source_id,relationship,target_id,public,review_state,purpose
unit-math-algebra-a0,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a0-1,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-1,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-1,precedes,lesson-math-algebra-a0-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-2,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-2,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-2,precedes,lesson-math-algebra-a0-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-3,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-3,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-3,precedes,lesson-math-algebra-a0-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-4,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-4,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-4,precedes,lesson-math-algebra-a0-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-5,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-5,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-5,precedes,lesson-math-algebra-a0-6,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-6,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-6,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-6,precedes,lesson-math-algebra-a0-7,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-7,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-7,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-7,precedes,lesson-math-algebra-a0-8,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-8,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-8,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-8,precedes,lesson-math-algebra-a0-9,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-9,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-9,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a0-9,precedes,lesson-math-algebra-a0-10,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a0-10,part_of,unit-math-algebra-a0,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a0-10,practices,assessment-a0-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
unit-math-algebra-a1,part_of,course-math-algebra-full,yes,approved-by-storyboard,Unit belongs to canonical Algebra course.
lesson-math-algebra-a1-1,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-1,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-1,precedes,lesson-math-algebra-a1-2,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-2,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-2,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-2,precedes,lesson-math-algebra-a1-3,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-2,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
lesson-math-algebra-a1-3,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-3,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-3,precedes,lesson-math-algebra-a1-4,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-4,part_of,unit-math-algebra-a1,yes,approved-by-storyboard,Lesson belongs to unit.
lesson-math-algebra-a1-4,practices,assessment-a1-practice,yes,approved-by-storyboard,Unit practice applies lesson skill.
lesson-math-algebra-a1-4,precedes,lesson-math-algebra-a1-5,yes,approved-by-storyboard,Core sequence next step.
lesson-math-algebra-a1-4,uses_tool,tool-math-algebra-expression-checker,yes,candidate-review-required,"Checker supports bounded evaluation, simplification, or equivalence; it does not replace equation assessment."
