priority,conceptId,canonicalLesson,missingQueryFamily,intendedRole,forbiddenCompetingIntent,requiredInboundLinks,requiredOutboundLinks,rationale
high,cross.domain,/subjects/math/algebra/functions/domain/,domain of a function quick explanation,quick-answer,domain of a function,/subjects/math/algebra/functions/domain/,/subjects/math/algebra/functions/domain/,Acquisition page must preserve the ownership distinction: Algebra owns the generic definition; Precalculus owns formula- and context-specific domain analysis.
high,cross.range,/subjects/math/algebra/functions/range-and-graph-behavior/,range of a function quick explanation,quick-answer,range of a function,/subjects/math/algebra/functions/range-and-graph-behavior/,/subjects/math/algebra/functions/range-and-graph-behavior/,Acquisition page must preserve the ownership distinction: Algebra owns foundations; Precalculus owns global graph behavior.
high,cross.function-notation,/subjects/math/algebra/functions/function-notation-and-evaluation/,function notation quick explanation,quick-answer,function notation,/subjects/math/algebra/functions/function-notation-and-evaluation/,/subjects/math/algebra/functions/function-notation-and-evaluation/,Acquisition page must preserve the ownership distinction: Algebra owns generic instruction; secondary pages explain notation or extend it to solving.
high,cross.piecewise,/subjects/math/algebra/functions/piecewise-defined-functions/,piecewise functions quick explanation,quick-answer,piecewise functions,/subjects/math/algebra/functions/piecewise-defined-functions/,/subjects/math/algebra/functions/piecewise-defined-functions/,Acquisition page must preserve the ownership distinction: Algebra owns foundations; Precalculus owns multi-representation analysis.
high,cross.exponential-functions,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,exponential functions quick explanation,quick-answer,exponential functions,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,Acquisition page must preserve the ownership distinction: Algebra owns foundations; Precalculus owns parameterized modeling.
high,cross.growth-decay,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,growth and decay models quick explanation,quick-answer,growth and decay models,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,Acquisition page must preserve the ownership distinction: Algebra owns the generic lesson; compact reading and advanced Precalculus modeling are satellites.
high,cross.log-laws,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,logarithm laws quick explanation,quick-answer,logarithm laws,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,Acquisition page must preserve the ownership distinction: Algebra owns the generic laws; Precalculus owns their application in models.
high,cross.solve-exponential,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,solving exponential equations quick explanation,quick-answer,solving exponential equations,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,Acquisition page must preserve the ownership distinction: Algebra owns the generic method; Precalculus owns model-based equations.
medium,cross.systems,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,systems of equations quick explanation,quick-answer,systems of equations,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,/subjects/math/algebra/systems/systems-as-simultaneous-conditions/,Acquisition page must preserve the ownership distinction: Algebra owns generic solving foundations; Precalculus owns intersection models and nonlinear systems.
medium,cross.geometric-sequences,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,geometric sequences quick explanation,quick-answer,geometric sequences,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,/subjects/math/precalculus/sequences-series-and-discrete-models/geometric-sequences/,Acquisition page must preserve the ownership distinction: Precalculus owns the generic sequence lesson; Algebra connects percent change and Calculus formalizes sequence functions.
medium,cross.infinite-geometric-series,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,infinite geometric series quick explanation,quick-answer,infinite geometric series,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,/subjects/math/precalculus/sequences-series-and-discrete-models/infinite-geometric-series-and-convergence/,Acquisition page must preserve the ownership distinction: Precalculus owns the first infinite-geometric-series lesson; Calculus owns formal convergence depth.
