url,beforeTitle,afterTitle,afterH1,rationale,status
/learn/calculus/integration-by-parts/,"Integration by parts: recognition, setup, and examples",When to use integration by parts: recognition and setup | Better Grades,When should you use integration by parts?,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/polynomials-factoring/completing-the-square/,Completing the square without guessing,How to find the missing term when completing the square | Better Grades,How to find the missing term when completing the square,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/polynomials-factoring/factoring-trinomials/,"Factoring trinomials: use product and sum, not random guessing",Factoring trinomials: which method should you use? | Better Grades,Factoring trinomials: which method should you use?,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/polynomials-factoring/greatest-common-factor/,Factor the greatest common factor before anything fancy,Why the GCF should be your first factoring move | Better Grades,Why the GCF should be your first factoring move,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/polynomials-factoring/multiply-polynomials/,Multiplying polynomials without losing a term,Polynomial multiplication checklist: include every term | Better Grades,Polynomial multiplication checklist: include every term,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/radicals-exponents-functions/rational-exponents/,Rational exponents: the bridge between powers and roots,Why fractional exponents mean roots | Better Grades,Why fractional exponents mean roots,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/,Simplifying radicals by pulling out perfect powers,How to find perfect-power factors when simplifying radicals | Better Grades,How to find perfect-power factors when simplifying radicals,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/,Solving radical equations and checking for extraneous roots,Why radical equations create extraneous solutions—and how to check them | Better Grades,Why radical equations create extraneous solutions—and how to check them,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/,Adding and subtracting rational expressions,How to find the LCD for rational expressions | Better Grades,How to find the LCD for rational expressions,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/rational-expressions/rational-domain-restrictions/,Domain restrictions in rational expressions,Why canceled factors still restrict a rational expression's domain | Better Grades,Why canceled factors still restrict a rational expression's domain,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/rational-expressions/solving-rational-equations/,Solving rational equations without accepting forbidden answers,Forbidden and extraneous solutions in rational equations | Better Grades,Forbidden and extraneous solutions in rational equations,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/systems-inequalities/compound-inequalities/,"Compound inequalities: and, or, and the sign flip","And vs. or in compound inequalities: unions, intersections, and sign flips | Better Grades","And vs. or in compound inequalities: unions, intersections, and sign flips",Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/systems-inequalities/elimination-systems/,Solving systems by elimination,When should you use elimination for a system? | Better Grades,When should you use elimination for a system?,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/algebra/systems-inequalities/substitution-systems/,Solving systems by substitution,When should you use substitution for a system? | Better Grades,When should you use substitution for a system?,Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/calculus/integration-techniques/integration-by-parts-strategy/,Integration by parts: choosing u and knowing when to repeat,"Repeated, tabular, and cyclic integration by parts | Better Grades","Repeated, tabular, and cyclic integration by parts",Differentiate compact/legacy intent without changing the URL.,IMPLEMENTED
/subjects/math/precalculus/algebra-and-function-readiness/investigation/,Unit 1 Investigation,Algebra and Function Readiness Modeling Investigation,Algebra and Function Readiness Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/algebra-and-function-readiness/mastery-check/,Unit 1 Mastery Check,Algebra and Function Readiness Practice Test,Algebra and Function Readiness Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/algebra-and-function-readiness/practice/,Unit 1 Flexible Practice,Algebra and Function Readiness Practice Problems,Algebra and Function Readiness Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/algebra-and-function-readiness/review/,Unit 1 Review,Algebra and Function Readiness Review,Algebra and Function Readiness Review,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/degree-measure-and-angular-coordinates/,Degree measure and angular coordinates,Degree Measure and Angular Coordinates | Better Grades,Degree Measure and Angular Coordinates,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/investigation/,Unit 9 Investigation,Radians and the Unit Circle Modeling Investigation,Radians and the Unit Circle Modeling Investigation,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/mastery-check/,Unit 9 Mastery Check,Radians and the Unit Circle Practice Test,Radians and the Unit Circle Practice Test,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/practice/,Unit 9 Flexible Practice,Radians and the Unit Circle Practice Problems,Radians and the Unit Circle Practice Problems,Qualify the assessment by its actual unit topic.,IMPLEMENTED
/subjects/math/precalculus/angles-radians-and-the-unit-circle/radian-measure-as-normalized-arc-length/,Radian measure as normalized arc length,Radians as Normalized Arc Length | Better Grades,Radians as Normalized Arc Length,Name the mathematical topic and course-stage intent while preserving the established URL.,IMPLEMENTED
